route_id,frequency_per_week,suppliers,n_stops,route_km,load_weight_kg,load_cube_m3,pallet_positions_used,weight_utilization,cube_utilization,pallet_position_utilization,route_duration_h,vehicle_id,feasible,annual_trips,tonne_km_per_trip,wtw_gco2e_tkm,annual_co2e_kg
B000,10.0,S000,1,274.8,8126.683864600001,74.9798136,28,0.3386118276916667,0.83310904,0.8484848484848485,5.57969696969697,V03,True,500.0,2233.2127259920803,115.0,128409.73174454462
B001,3.0,S001,1,188.4,5637.300703333333,38.657579999999996,15,0.23488752930555556,0.4295286666666666,0.45454545454545453,4.025454545454545,V03,True,150.0,1062.067452508,115.0,18320.663555763003
B002,3.0,S002,1,277.4,1373.9131220000002,27.119422,10,0.05724638008333334,0.3013269111111111,0.30303030303030304,5.3603030303030295,V03,True,150.0,381.12350004280006,115.0,6574.380375738301
B003,25.0,S003,1,460.4,4290.45941544,80.47989048000001,30,0.17876914231000002,0.8942210053333335,0.9090909090909091,8.837575757575758,V03,True,1250.0,1975.327514868576,115.0,283953.3302623578
B004,5.0,S004,1,120.8,10314.1047664,57.65465640000001,22,0.42975436526666666,0.6406072933333334,0.6666666666666666,2.5796969696969696,V03,True,250.0,1245.94385578112,115.0,35820.8858537072
B005,3.0,S005,1,449.6,3624.10025,21.562948000000002,8,0.15100417708333333,0.23958831111111115,0.24242424242424243,8.541212121212123,V03,True,150.0,1629.3954724000002,115.0,28107.071898900005
B006,10.0,S006,1,319.6,5569.7116909999995,74.374434,28,0.2320713204583333,0.8263826,0.8484848484848485,6.010909090909092,V03,True,500.0,1780.0798564436,115.0,102354.591745507
B007,3.0,S007,1,263.4,4623.490029333333,48.54484800000001,18,0.19264541788888886,0.5393872000000001,0.5454545454545454,5.239090909090909,V03,True,150.0,1217.8272737263999,115.0,21007.520471780397
B008,7.5,S008,1,194.6,1701.3300837333334,56.18232,21,0.07088875348888889,0.6242479999999999,0.6363636363636364,3.9548484848484846,V03,True,375.0,331.0788342945067,115.0,14277.7747289506
B009,20.0,S009,1,520.0,5559.753823,67.2198891,25,0.23165640929166667,0.7468876566666667,0.7575757575757576,9.921212121212122,V03,True,1000.0,2891.07198796,115.0,332473.2786154
B010,3.0,S010,1,345.2,4417.671238666667,48.995886000000006,18,0.18406963494444445,0.5443987333333334,0.5454545454545454,6.793030303030303,V03,True,150.0,1524.9801115877335,115.0,26305.9069248884
B011,3.0,S011,1,236.8,5029.857008000001,72.31605400000001,27,0.20957737533333337,0.8035117111111112,0.8181818181818182,4.555454545454546,V03,True,150.0,1191.0701394944,115.0,20545.9599062784
B012,25.0,S012,1,115.2,2859.12745416,77.90594664000001,29,0.11913031059,0.8656216293333334,0.8787878787878788,2.427878787878788,V03,True,1250.0,329.37148271923206,115.0,47347.15064088962
B013,5.0,S013,1,194.8,5213.1889,58.44096,22,0.21721620416666668,0.6493439999999999,0.6666666666666666,3.991818181818182,V03,True,250.0,1015.5291977200002,115.0,29196.464434450005
B014,3.0,S014,1,90.0,3188.4200800000003,24.936208000000004,10,0.1328508366666667,0.27706897777777784,0.30303030303030304,2.01969696969697,V03,True,150.0,286.95780720000005,115.0,4950.022174200001
B015,7.5,S015,1,520.0,3176.041098133333,71.4793664,27,0.13233504575555555,0.7942151822222223,0.8181818181818182,9.837878787878788,V03,True,375.0,1651.5413710293333,115.0,71222.72162563998
B016,15.0,S016,1,117.4,3245.2514807999996,79.0148652,29,0.1352188117,0.8779429466666667,0.8787878787878788,2.584545454545455,V03,True,750.0,380.99252384591995,115.0,32860.6051817106
B017,3.0,S017,1,241.8,9614.001282,80.15285200000001,30,0.40058338675,0.8905872444444446,0.9090909090909091,4.6463636363636365,V03,True,150.0,2324.6655099875998,115.0,40100.480047286095
B018,5.0,S018,1,233.0,6407.4245888,50.8695132,19,0.2669760245333333,0.5652168133333333,0.5757575757575758,4.636363636363637,V03,True,250.0,1492.9299291904,115.0,42921.735464223995
B019,7.5,S019,1,372.0,7084.644513866667,68.5914776,26,0.2951935214111111,0.7621275288888889,0.7878787878787878,7.113636363636363,V03,True,375.0,2635.4877591584,115.0,113655.409613706
B020,10.0,S020,1,98.2,5846.073543200001,63.54050399999999,24,0.24358639763333337,0.7060055999999999,0.7272727272727273,2.352121212121212,V03,True,500.0,574.0844219422402,115.0,33009.85426167881
B021,5.0,S021,1,431.4,7031.1004596,65.594232,25,0.29296251915,0.7288248,0.7575757575757576,8.060303030303029,V03,True,250.0,3033.21673827144,115.0,87204.9812253039
B022,7.5,S022,1,203.0,7869.424608,66.44128400000001,25,0.327892692,0.738236488888889,0.7575757575757576,4.024242424242424,V03,True,375.0,1597.493195424,115.0,68891.89405266
B023,15.0,S023,1,200.2,6046.181350266666,74.9630884,28,0.2519242229277778,0.8329232044444445,0.8484848484848485,3.973333333333333,V03,True,750.0,1210.4455063233866,115.0,104400.92492039209
B024,7.5,S024,1,273.4,5209.527457333334,66.5207992,25,0.21706364405555556,0.7391199911111112,0.7575757575757576,5.304242424242424,V03,True,375.0,1424.2848068349333,115.0,61422.2822947565
B025,5.0,S025,1,119.0,7236.1968384,69.9483708,26,0.3015082016,0.77720412,0.7878787878787878,2.58030303030303,V03,True,250.0,861.1074237696,115.0,24756.838433376
B026,7.5,S026,1,238.6,3377.381605333333,54.0787136,20,0.14072423355555555,0.6008745955555556,0.6060606060606061,4.904848484848484,V03,True,375.0,805.8432510325332,115.0,34751.99020077799
B027,10.0,S027,1,112.2,6639.0975748,79.3714968,30,0.27662906561666667,0.88190552,0.9090909090909091,2.64,V03,True,500.0,744.90674789256,115.0,42832.1380038222
B028,3.0,S028,1,385.8,2429.9330600000003,22.953634,9,0.10124721083333335,0.25504037777777777,0.2727272727272727,7.447878787878788,V03,True,150.0,937.4681745480001,115.0,16171.326010953002
B029,15.0,S029,1,520.0,6416.283300266667,67.98125280000001,25,0.2673451375111111,0.7553472533333334,0.7575757575757576,9.804545454545455,V03,True,750.0,3336.467316138667,115.0,287770.30601696
B030,3.0,S030,1,222.8,9484.655899333333,73.380246,27,0.39519399580555553,0.8153360666666667,0.8181818181818182,4.667575757575758,V03,True,150.0,2113.1813343714666,115.0,36452.378017907795
B031,3.0,S031,1,389.8,9092.786852000001,67.613172,25,0.3788661188333334,0.7512574666666667,0.7575757575757576,7.670606060606061,V03,True,150.0,3544.3683149096005,115.0,61140.353432190605
B032,5.0,S032,1,432.4,5621.172812,75.22007640000001,28,0.23421553383333332,0.8357786266666668,0.8484848484848485,8.128484848484849,V03,True,250.0,2430.5951239088,115.0,69879.609812378
B033,10.0,S033,1,261.8,4595.821415,64.3803408,24,0.19149255895833334,0.7153371199999999,0.7272727272727273,5.026666666666666,V03,True,500.0,1203.186046447,115.0,69183.1976707025
