supplier_id,frequency_per_week
S000,10.0
S001,3.0
S002,3.0
S003,25.0
S004,5.0
S005,3.0
S006,10.0
S007,3.0
S008,7.5
S009,20.0
S010,3.0
S011,3.0
S012,25.0
S013,5.0
S014,3.0
S015,7.5
S016,15.0
S017,3.0
S018,5.0
S019,7.5
S020,10.0
S021,5.0
S022,7.5
S023,15.0
S024,7.5
S025,5.0
S026,7.5
S027,10.0
S028,3.0
S029,15.0
S030,3.0
S031,3.0
S032,5.0
S033,10.0
S034,5.0
S035,3.0
S036,3.0
S037,3.0
S038,3.0
S039,3.0
S040,12.5
S041,3.0
S042,3.0
S043,7.5
S044,5.0
S045,5.0
S046,3.0
S047,3.0
S048,5.0
S049,3.0
S050,7.5
S051,3.0
S052,3.0
S053,5.0
S054,3.0
S055,7.5
S056,41.0
S057,3.0
S058,3.0
S059,5.0
