part_id,mean_daily_demand,sd_daily_demand,mean_lead_time_days,sd_lead_time_days,target_cycle_service,z,safety_stock_units,reorder_point_units,unit_value_eur,criticality,annual_safety_stock_holding_eur,delivery_interval_days,cycle_stock_units,pipeline_inventory_units,avg_inventory_units,annual_inventory_holding_eur
P0000,82.4931506849315,54.05977646069191,0.84,0.20748,0.985,2.17009037758456,113.75522654821356,183.04947312355603,66.3,medium,1659.233734432243,0.6666666666666666,27.497716894977167,69.29424657534247,210.5471900185332,3071.0413136103252
P0001,190.55616438356165,126.5260484260161,0.76,0.21356000000000003,0.97,1.8807936081512509,221.12579580849513,365.94848074000197,37.29,low,1814.0718036537326,0.2,19.055616438356164,144.82268493150684,385.00409717835817,3158.4966124318144
P0002,57.04931506849315,39.84396462937295,1.07,0.41516000000000003,0.97,1.8807936081512509,89.40457612523483,150.4473432485225,1.76,low,34.617451875690925,1.6666666666666667,47.54109589041096,61.042767123287675,197.98843913893347,76.66112363459504
P0003,166.78082191780823,112.32366480464734,4.17,1.1967899999999998,0.97,1.8807936081512509,571.8727706217312,1267.3487980189916,4.58,low,576.2190036784564,1.0,83.39041095890411,695.4760273972603,1350.7392089778955,1361.0048269661277
P0004,41.391780821917806,27.151132539796333,4.07,1.3593800000000003,0.985,2.17009037758456,170.40850842492722,338.8730563701327,71.84,medium,2693.27239395429,0.3333333333333333,6.8986301369863,168.46454794520548,345.771686507119,5464.852350907715
P0005,82.66849315068494,54.214391455175765,0.84,0.20748,0.985,2.17009037758456,114.0716698008165,183.51320404739184,10.41,medium,261.2469381778299,0.6666666666666666,27.556164383561644,69.44153424657534,211.0693684309535,483.39106758056965
P0006,27.2,18.073750013775214,2.29,0.85875,0.985,2.17009037758456,78.05234899533467,140.34034899533467,2.73,medium,46.878240806598,1.0,13.6,62.288,153.94034899533466,92.456573606598
P0007,173.84657534246574,113.974156124704,2.47,0.5681,0.985,2.17009037758456,443.88585916847234,873.2869002643628,11.0,medium,1074.203779187703,1.0,86.92328767123287,429.40104109589043,960.2101879355957,2323.708654804142
P0008,113.17534246575343,74.86076412728038,3.89,1.31482,0.999,3.090232306167813,647.793111699599,1088.0451938913798,32.57,critical,4641.696762572306,0.3333333333333333,18.86255707762557,440.25208219178086,1106.9077509690053,7931.43679879331
P0009,23.923287671232877,16.088171552006717,2.29,0.85875,0.985,2.17009037758456,69.12955707549007,123.91388584261335,7.44,medium,113.15125902116215,1.0,11.961643835616439,54.78432876712329,135.8755296782298,222.40106697732656
P0010,505.8027397260274,331.8589656305768,4.07,1.3593800000000003,0.985,2.17009037758456,2082.602055334214,4141.219206019146,7.33,medium,3358.4040744319536,0.3333333333333333,84.30045662100457,2058.617150684932,4225.51966264015,6814.073007973506
P0011,121.92602739726027,80.76599291733078,3.58,1.5036,0.97,1.8807936081512509,448.8836468221527,885.3788249043445,36.06,low,3561.083746969502,0.5,30.481506849315068,436.4951780821918,915.8603317536595,7265.703183868132
P0012,41.38630136986301,27.157382756915847,3.76,0.7745599999999999,0.985,2.17009037758456,133.7854362872406,289.39792943792554,4.09,medium,120.38013557125907,1.0,20.693150684931506,155.6124931506849,310.091080122857,279.01995389454675
P0013,31.695890410958903,20.916713691120524,1.34,0.19698,0.985,2.17009037758456,54.26279162689809,96.73528477758302,6.6,medium,78.78957344225603,1.6666666666666667,26.41324200913242,42.47249315068493,123.14852678671545,178.81166089431082
P0014,20.427397260273974,13.80907151546487,4.45,0.5829500000000001,0.995,2.5758293035489004,81.06199052155986,171.96390832977903,163.39,high,2913.838098889886,1.6666666666666667,17.022831050228312,90.90191780821918,188.98673938000735,6793.2795364058675
P0015,35.178082191780824,23.239875773812493,2.47,0.5681,0.97,1.8807936081512509,78.30549931009782,165.19536232379647,2.84,low,48.92527596894911,1.0,17.589041095890412,86.88986301369864,182.78440341968687,114.20369525662034
P0016,96.07123287671233,68.31154689662579,3.58,1.5036,0.97,1.8807936081512509,364.56620231649964,708.5012160151298,48.42,low,3883.5050135562806,0.5,24.017808219178082,343.93501369863014,732.5190242343078,7803.085653753542
P0017,41.35342465753425,27.089362101453702,4.07,1.3593800000000003,0.999,3.090232306167813,242.2795496810837,410.5879880372481,5.64,critical,300.62046524428865,0.3333333333333333,6.892237442922374,168.3084383561644,417.4802254801705,518.0094637757954
P0018,161.83013698630137,106.17386048226021,1.92,0.816,0.985,2.17009037758456,429.0090548006659,739.7229178143646,7.5,medium,707.8649404210988,1.0,80.91506849315068,310.71386301369864,820.6379863075152,1354.0526774074003
P0019,291.09589041095893,192.53550866904914,1.73,0.45845,0.995,2.5758293035489004,737.3382567256161,1240.9341471365751,15.56,high,2524.0563204231294,0.25,36.386986301369866,503.59589041095893,1277.321133437945,4372.525703984774
P0020,14.252054794520548,9.960197016744896,1.68,0.21336,0.995,2.5758293035489004,34.16367937502709,58.10713142982161,50.02,high,375.9507933145481,1.6666666666666667,11.876712328767123,23.94345205479452,69.98384375858873,770.1302102570139
P0021,28.504109589041096,19.911841680488433,2.31,0.36729,0.995,2.5758293035489004,82.48599502670692,148.33048817739186,9.96,high,180.74331230252022,0.6666666666666666,9.501369863013698,65.84449315068494,157.83185804040556,345.8411673381367
P0022,20.898630136986302,14.042444422929623,2.04,0.58344,0.985,2.17009037758456,50.93658902641713,93.5697945058692,21.94,medium,245.86072791271022,1.0,10.449315068493151,42.63320547945206,104.01910957436235,502.0794380935322
P0023,224.52602739726026,148.25026177857774,2.29,0.71677,0.97,1.8807936081512509,519.2814235481601,1033.446026287886,91.61,low,10465.701666474328,1.6666666666666667,187.10502283105023,514.164602739726,1220.5510491189364,24599.22995415287
P0024,41.49315068493151,27.204417106434356,2.89,1.22536,0.985,2.17009037758456,149.15246379317915,269.0676692726312,4.71,medium,154.55178298249223,0.6666666666666666,13.831050228310502,119.91520547945206,282.89871950094175,293.13965314687584
P0025,302.7479452054794,201.9239113234805,3.36,1.4414399999999998,0.985,2.17009037758456,1241.771569664205,2259.0046655546157,1.93,medium,527.2562084794214,0.5,75.68698630136986,1017.2330958904108,2334.6916518559856,991.3100753780515
P0026,143.72328767123287,96.8546698207402,1.22,0.35135999999999995,0.985,2.17009037758456,256.72012392006553,432.0625348789696,2.61,medium,147.4086951549016,1.6666666666666667,119.76940639269407,175.34241095890408,551.8319412716637,316.8619006781893
P0027,9.64109589041096,6.864061440216388,3.36,1.19952,0.97,1.8807936081512509,32.1417411260637,64.53582331784452,20.34,low,143.82786319090985,1.6666666666666667,8.034246575342467,32.394082191780825,72.570069893187,324.73654875803317
P0028,284.986301369863,186.5528747743043,0.85,0.32384999999999997,0.985,2.17009037758456,423.58275462660214,665.8211107909857,11.32,medium,1054.89049212209,0.5,71.24657534246575,242.23835616438353,737.0676861334514,1835.5933655467475
P0029,60.25753424657534,39.913360558166666,1.73,0.45845,0.985,2.17009037758456,128.73532148855216,232.98085573512748,7.78,medium,220.3433762598059,0.25,7.532191780821917,104.24553424657533,240.51304751594938,411.662132128299
P0030,82.71232876712328,54.32064940682804,3.24,1.14372,0.97,1.8807936081512509,255.8811682592062,523.8691134646856,70.62,low,3975.4721825423317,0.5,20.67808219178082,267.98794520547943,544.5471956564664,8460.303050597126
P0031,522.054794520548,342.71156497779856,4.31,1.0430199999999998,0.985,2.17009037758456,1944.2723621913517,4194.328526574913,3.88,medium,1659.6308883665379,1.6666666666666667,435.04566210045664,2250.0561643835613,4629.37418867537,3951.633807453295
