part_id,packaging_id,units_per_container,q_volume,q_weight,q_geometry,cube_utilization,gross_weight_kg,annual_packaging_cost_eur,annual_handling_cost_eur,annual_damage_cost_eur,annual_packaging_transport_proxy_eur,total_packaging_system_cost_eur,returnable
P0000,PK04,2,3,7,2,0.6319298245614035,7.6224,42154.0,30110.0,10859.035402799998,0,83123.0354028,False
P0001,PK05,1,6,43,0,0.16245416666666668,38.8465,1112848.0,312988.5,4590.7275249,0,1430427.2275249,False
P0002,PK05,4,11,55,4,0.34705,70.9964,83296.0,23427.0,187.20043584000004,0,106910.20043584,False
P0003,PK05,4,7,30,4,0.5382583333333333,109.6376,243504.0,68485.5,836.7013075,0,312826.2013075,False
P0004,PK04,2,5,11,2,0.3874003189792663,5.053999999999999,21151.199999999997,15108.0,5130.273597696,0,41389.473597696,False
P0005,PK04,1,2,2,0,0.38497607655502386,9.544,84487.2,60348.0,1034.305820352,0,145869.505820352,False
P0006,PK04,2,4,13,2,0.4771291866028708,4.3122,13899.199999999999,9928.0,190.786534848,0,24017.986534847998,False
P0007,PK04,12,27,30,12,0.44287081339712914,10.3328,14806.4,10576.0,7272.8182824,0,32655.2182824,False
P0008,PK04,1,2,6,0,0.41074960127591703,4.4168,115665.2,82618.0,6409.648195320001,0,204692.84819532002,False
P0009,PK04,120,158,192,120,0.7578947368421052,15.74,204.39999999999998,146.0,357.131534976,0,707.531534976,False
P0010,PK04,1,1,4,0,0.7914354066985645,5.6461,516930.39999999997,369236.0,8109.756240432,0,894276.1562404319,False
P0011,PK04,48,80,95,48,0.594066985645933,12.838400000000002,2598.3999999999996,1856.0,3508.687012752,0,7963.087012751999,False
P0012,PK04,4,13,19,4,0.29492822966507176,5.6536,10575.599999999999,7554.0,179.196979416,0,18308.796979415998,False
P0013,PK04,3,9,9,3,0.3214354066985645,8.680100000000001,10799.599999999999,7714.0,86.40377063999999,0,18600.00377064,False
P0014,PK04,4,10,21,4,0.36714513556618816,5.3372,5219.2,3728.0,3974.859898751999,0,12922.059898751999,False
P0015,PK04,2,5,8,2,0.39888357256778306,6.513599999999999,17976.0,12840.0,169.52128128,0,30985.52128128,False
P0016,PK04,3,7,9,3,0.4007655502392344,8.0726,32729.199999999997,23378.0,4417.245505152,0,60524.445505152,False
P0017,PK04,1,2,5,1,0.3789314194577352,5.0919,42263.2,30188.0,435.491846496,0,72886.691846496,False
P0018,PK04,2,5,6,2,0.38306220095693777,8.2456,82695.2,59068.0,2416.708152,0,144179.90815200002,False
P0019,PK04,2,3,12,2,0.5028389154704944,4.7508,148750.0,106250.0,8510.931,0,263510.931,False
P0020,PK02,1,1,12,0,0.9116406250000002,6.1811,8275.909090909092,14565.599999999999,329.93872272,0,23171.44781362909,True
P0021,PK04,2,3,6,2,0.6358851674641148,8.5642,14565.599999999999,10404.0,415.20000211200005,0,25384.800002112,False
P0022,PK04,4,9,9,4,0.4152472089314194,11.0016,5339.599999999999,3814.0,809.3448355200001,0,9962.944835519998,False
P0023,PK04,1,1,2,0,0.6081499202551833,9.933800000000002,229465.59999999998,163904.0,14612.836862208002,0,407982.43686220795,False
P0024,PK04,4,8,19,4,0.48765550239234445,5.8088,10603.599999999999,7574.0,251.74824714,0,18429.34824714,False
P0025,PK04,20,38,50,20,0.5221690590111642,10.282000000000002,15472.8,11052.0,921.0738878519999,0,27445.873887851998,False
P0026,PK04,6,13,19,6,0.434066985645933,8.3522,24483.199999999997,17488.0,366.721144416,0,42337.921144415996,False
P0027,PK04,2,6,21,2,0.3266347687400319,3.0730000000000004,4928.0,3520.0,611.978733,0,9059.978733,False
P0028,PK05,5,10,229,5,0.49653125000000004,38.1515,332864.0,93618.0,5654.385732800001,0,432136.3857328,False
P0029,PK04,1,4,13,0,0.23347687400318975,2.6061,61583.2,43988.0,658.307164704,0,106229.507164704,False
P0030,PK04,1,2,8,0,0.46320574162679423,3.6108000000000002,84532.0,60380.0,11533.363490880001,0,156445.36349088,False
P0031,PK04,8,11,28,8,0.708389154704944,7.596,66693.2,47638.0,1209.2546904,0,115540.4546904,False
P0032,PK04,2,3,8,2,0.5555980861244019,6.641,17964.8,12832.0,2053.4382336,0,32850.2382336,False
P0033,PK04,3,12,7,3,0.23162679425837318,10.9103,148523.19999999998,106088.0,35232.439792536,0,289843.639792536,False
P0034,PK04,20,28,28,20,0.6909090909090908,17.826,5474.0,3910.0,7075.426815,0,16459.426815,False
P0035,PK04,4,12,30,4,0.3314832535885167,3.9612,45276.0,32340.0,1015.790497944,0,78631.790497944,False
P0036,PK04,1,1,6,0,0.5084051036682615,4.7825,111059.2,79328.0,2961.628537536,0,193348.828537536,False
P0037,PK04,2,3,15,2,0.6398405103668261,3.8840000000000003,21165.199999999997,15118.0,180.01728264000002,0,36463.21728264,False
P0038,PK05,3,7,27,3,0.405271875,95.61,105696.0,29727.0,131.3807649,0,135554.3807649,False
P0039,PK04,6,16,24,6,0.37368421052631573,6.608,7050.4,5036.0,1573.299298896,0,13659.699298896,False
P0040,PK03,1,1,3,0,0.9734226190476191,11.2961,15914.16,30801.6,524.2929958349999,0,47240.052995834994,True
P0041,PK04,3,12,30,3,0.24253588516746408,3.125,9273.599999999999,6624.0,823.3906648200002,0,16720.990664819998,False
