part_id,packaging_id,containers_per_day,loop_days,required_fleet,container_asset_eur
P0020,PK02,14.252054794520548,4.359999999999999,69,12765.0
P0040,PK03,35.16164383561644,5.04,196,29400.0
P0102,PK02,35.0958904109589,8.16,316,58460.0
P0141,PK03,41.43561643835616,5.58,255,38250.0
P0163,PK02,41.41095890410959,4.84,221,40885.0
P0169,PK03,186.73150684931508,9.32,1918,287700.0
P0244,PK02,157.4931506849315,8.4,1458,269730.0
P0426,PK03,41.41095890410959,8.32,380,57000.0
P0427,PK02,172.35616438356163,8.32,1580,292300.0
P0456,PK03,334.8794520547945,5.94,2192,328800.0
