route_id,frequency_per_week,suppliers,n_stops,route_km,load_weight_kg,load_cube_m3,pallet_positions_used,weight_utilization,cube_utilization,pallet_position_utilization,route_duration_h,vehicle_id,feasible
B000,10.0,S000,1,274.8,8126.683864600001,74.9798136,28,0.3386118276916667,0.83310904,0.8484848484848485,5.57969696969697,V03,True
B001,3.0,S001,1,188.4,5637.300703333333,38.657579999999996,15,0.23488752930555556,0.4295286666666666,0.45454545454545453,4.025454545454545,V03,True
B002,3.0,S002,1,277.4,1373.9131220000002,27.119422,10,0.05724638008333334,0.3013269111111111,0.30303030303030304,5.3603030303030295,V03,True
B003,25.0,S003,1,460.4,4290.45941544,80.47989048000001,30,0.17876914231000002,0.8942210053333335,0.9090909090909091,8.837575757575758,V03,True
B004,5.0,S004,1,120.8,10314.1047664,57.65465640000001,22,0.42975436526666666,0.6406072933333334,0.6666666666666666,2.5796969696969696,V03,True
B005,3.0,S005,1,449.6,3624.10025,21.562948000000002,8,0.15100417708333333,0.23958831111111115,0.24242424242424243,8.541212121212123,V03,True
B006,10.0,S006,1,319.6,5569.7116909999995,74.374434,28,0.2320713204583333,0.8263826,0.8484848484848485,6.010909090909092,V03,True
B007,3.0,S007,1,263.4,4623.490029333333,48.54484800000001,18,0.19264541788888886,0.5393872000000001,0.5454545454545454,5.239090909090909,V03,True
B008,7.5,S008,1,194.6,1701.3300837333334,56.18232,21,0.07088875348888889,0.6242479999999999,0.6363636363636364,3.9548484848484846,V03,True
B009,20.0,S009,1,520.0,5559.753823,67.2198891,25,0.23165640929166667,0.7468876566666667,0.7575757575757576,9.921212121212122,V03,True
B010,3.0,S010,1,345.2,4417.671238666667,48.995886000000006,18,0.18406963494444445,0.5443987333333334,0.5454545454545454,6.793030303030303,V03,True
B011,3.0,S011,1,236.8,5029.857008000001,72.31605400000001,27,0.20957737533333337,0.8035117111111112,0.8181818181818182,4.555454545454546,V03,True
B012,25.0,S012,1,115.2,2859.12745416,77.90594664000001,29,0.11913031059,0.8656216293333334,0.8787878787878788,2.427878787878788,V03,True
B013,5.0,S013,1,194.8,5213.1889,58.44096,22,0.21721620416666668,0.6493439999999999,0.6666666666666666,3.991818181818182,V03,True
B014,3.0,S014,1,90.0,3188.4200800000003,24.936208000000004,10,0.1328508366666667,0.27706897777777784,0.30303030303030304,2.01969696969697,V03,True
B015,7.5,S015,1,520.0,3176.041098133333,71.4793664,27,0.13233504575555555,0.7942151822222223,0.8181818181818182,9.837878787878788,V03,True
B016,15.0,S016,1,117.4,3245.2514807999996,79.0148652,29,0.1352188117,0.8779429466666667,0.8787878787878788,2.584545454545455,V03,True
B017,3.0,S017,1,241.8,9614.001282,80.15285200000001,30,0.40058338675,0.8905872444444446,0.9090909090909091,4.6463636363636365,V03,True
B018,5.0,S018,1,233.0,6407.4245888,50.8695132,19,0.2669760245333333,0.5652168133333333,0.5757575757575758,4.636363636363637,V03,True
B019,7.5,S019,1,372.0,7084.644513866667,68.5914776,26,0.2951935214111111,0.7621275288888889,0.7878787878787878,7.113636363636363,V03,True
B020,10.0,S020,1,98.2,5846.073543200001,63.54050399999999,24,0.24358639763333337,0.7060055999999999,0.7272727272727273,2.352121212121212,V03,True
B021,5.0,S021,1,431.4,7031.1004596,65.594232,25,0.29296251915,0.7288248,0.7575757575757576,8.060303030303029,V03,True
B022,7.5,S022,1,203.0,7869.424608,66.44128400000001,25,0.327892692,0.738236488888889,0.7575757575757576,4.024242424242424,V03,True
B023,15.0,S023,1,200.2,6046.181350266666,74.9630884,28,0.2519242229277778,0.8329232044444445,0.8484848484848485,3.973333333333333,V03,True
B024,7.5,S024,1,273.4,5209.527457333334,66.5207992,25,0.21706364405555556,0.7391199911111112,0.7575757575757576,5.304242424242424,V03,True
B025,5.0,S025,1,119.0,7236.1968384,69.9483708,26,0.3015082016,0.77720412,0.7878787878787878,2.58030303030303,V03,True
