supplier_id,frequency_per_week,minimum_physical_frequency,annual_weight_kg,annual_cube_m3,annual_value,distance_km
S000,10.0,7.778516166666666,4063341.9323000005,31502.990475,25860666.41,137.4
S001,10.0,1.913338074074074,845595.1055000001,7749.0192,436688.38,94.2
S002,10.0,1.0557842962962964,206086.9683,4275.9264,941893.89,138.7
S003,15.0,14.479843666666666,5363074.2693,58643.36685,27977522.630000003,230.2
S004,10.0,3.5990636481481477,2578526.1916,14576.207774999999,24933326.549999997,60.4
S005,7.5,1.0,543615.0375,2727.9264000000003,5653038.23,224.8
S006,10.0,9.166337777777775,2784855.8455,37123.66799999999,9289077.86,159.8
S007,10.0,1.5671466111111112,693523.5044,6346.943775000001,3732109.87,131.7
S008,10.0,5.007948074074074,637998.7814,20282.1897,10549359.77,97.3
S009,20.0,15.244123555555555,5559753.823,61738.7004,54620236.22,260.0
S010,10.0,1.7411788888888888,662650.6858,7051.7744999999995,12399209.08,172.6
S011,10.0,2.3314665185185186,754478.5512000001,9442.439400000001,3212046.84,118.4
S012,15.0,13.384398240740742,3573909.3177,54206.812875,14260303.65,57.6
S013,10.0,3.607466666666667,1303297.225,14610.24,278807.5,97.4
S014,10.0,1.0,478263.01200000005,3828.12945,4113618.79,45.0
S015,10.0,5.901532740740741,1191015.4118,23901.2076,6452375.71,260.0
S016,12.5,11.295185685185183,2433938.6106,45745.502024999994,18133522.349999998,58.7
S017,10.0,2.734576203703704,1442100.1923,11075.033625,19140343.39,120.9
S018,10.0,2.480808277777778,1601856.1472,10047.273525,22265191.09,116.5
S019,10.0,5.698183648148149,2656741.6927,23077.643775,3569708.84,186.0
S020,10.0,8.35310085185185,2923036.7716000006,33830.05845,71714655.26,49.1
S021,10.0,3.8282422962962968,1757775.1149000002,15504.381300000003,30834539.7,215.7
S022,10.0,5.06485275925926,2951034.228,20512.653675,14702216.07,101.5
S023,12.5,10.56067788888889,4534636.0127,42770.74545,44055949.81,100.1
S024,10.0,5.586366296296297,1953572.7965,22624.7835,15706542.43,136.7
S025,10.0,4.600839481481483,1809049.2096,18633.399900000004,6865260.0,59.5
S026,10.0,4.878113277777778,1266518.102,19756.358775,6230643.6899999995,119.3
S027,10.0,9.43528762962963,3319548.7874000003,38212.9149,35110023.11,56.1
S028,10.0,1.0,364489.95900000003,2836.6605000000004,7813052.4799999995,192.9
S029,12.5,11.05163075925926,4812212.4752,44759.104575,11176673.43,260.0
S030,10.0,2.9552485555555554,1422698.3849,11968.75665,47710662.09,111.4
S031,10.0,2.175696851851852,1363918.0278,8811.572250000001,6187037.05,194.9
S032,10.0,3.492265777777778,1405293.203,14143.6764,7060146.609999999,216.2
S033,10.0,8.157616944444444,2297910.7075,33038.348625,20164329.62,130.9
S034,10.0,3.9253125185185187,1221798.0242,15897.5157,5504462.43,136.3
S035,10.0,1.0,290863.6908,3327.4344,4532354.68,146.0
S036,10.0,2.241226,893199.1366000001,9076.9653,7489349.0200000005,260.0
S037,2.0,1.0,35641.0522,203.88480000000004,2604587.44,71.3
S038,5.0,1.0,191930.1002,1486.4655749999997,924466.05,130.0
S039,10.0,1.7070026666666664,1032089.1834999999,6913.3607999999995,4675573.08,260.0
S040,10.0,8.869092648148149,3556660.5261,35919.825225,31442310.810000002,115.1
S041,7.5,1.0,355725.07,2624.9613,2086460.6400000001,234.5
S042,10.0,1.0,238474.2468,3295.8783000000003,2772204.81,113.2
S043,10.0,5.093739907407408,2499352.1898,20629.646625,22293122.68,48.9
S044,10.0,2.499069111111111,1944848.5315,10121.2299,5876003.51,74.9
S045,10.0,3.9947177037037047,931832.5700000001,16178.606700000004,14368226.66,260.0
S046,10.0,1.4289534814814817,942085.3018,5787.261600000001,5712914.39,101.3
S047,10.0,1.0,413120.03489999997,3555.3186000000005,1351753.04,133.3
S048,10.0,2.422126425925926,1134965.8915000001,9809.612025,9425692.700000001,58.1
S049,10.0,1.642199666666667,663593.0347000001,6650.908650000001,13126230.61,43.0
S050,10.0,6.654740148148148,1116789.3115,26951.6976,5967232.56,37.4
S051,7.5,1.0,204393.4843,1501.1292,3118065.23,260.0
S052,5.0,1.0,155916.35580000002,1178.16,1631724.1,223.1
S053,10.0,3.825724296296296,1647776.4224,15494.1834,9195661.84,81.6
S054,10.0,2.540001703703704,1090284.2929,10287.0069,18557109.27,63.7
S055,10.0,5.101795592592593,1925191.7534,20662.27215,30265523.35,99.4
S056,25.0,21.897289203703707,11393188.943400001,88684.021275,37690844.019999996,102.9
S057,5.0,1.0,8493.7752,222.16320000000005,12199.14,75.2
S058,10.0,2.2394482962962963,819195.9452,9069.7656,32962398.05,260.0
S059,10.0,2.740008925925926,1388237.8897,11097.036150000002,44066736.15,113.6
