part_id,packaging_id,units_per_container,q_volume,q_weight,q_geometry,cube_utilization,gross_weight_kg,annual_packaging_cost_eur,annual_handling_cost_eur,annual_damage_cost_eur,annual_packaging_transport_proxy_eur,total_packaging_system_cost_eur,returnable
P0000,PK03,2,3,8,2,0.5896130952380952,9.522400000000001,18668.2,36132.0,513.0894227822995,42491.232,97804.5214227823,True
P0001,PK06,5,12,60,5,0.40973769389213505,169.23250000000002,111586.09285714284,76510.5,148.73957180676013,1111923.6187500001,1300168.9511789498,True
P0002,PK06,12,22,76,12,0.5251923157761992,235.9892,13925.199999999999,9548.0,6.065294121216006,138760.65,162239.91529412122,True
P0003,PK05,4,7,30,4,0.5382583333333333,109.6376,243504.0,68485.5,135.54561181499994,613630.08,925755.1256118149,False
P0004,PK03,2,5,14,2,0.3614583333333333,6.954,9366.96,18129.6,242.40542749113575,21320.409600000003,49059.37502749113,True
P0005,PK05,16,39,74,16,0.4023,163.904,30176.0,8487.0,139.63128574751994,76043.52,114846.15128574752,False
P0006,PK03,2,4,17,2,0.4451785714285715,6.2122,6155.36,11913.6,9.01466377156799,14010.393600000003,32088.368263771572,True
P0007,PK02,16,33,44,16,0.4820833333333334,16.1104,6309.545454545455,11104.8,490.91523406200037,12792.729599999999,30697.990288607456,True
P0008,PK03,2,2,8,2,0.7664880952380952,9.9336,25612.2,49572.0,302.8558772288697,58296.67200000001,133783.7278772289,True
P0009,PK02,132,193,281,132,0.680625,19.834,106.5909090909091,187.6,24.10637861088002,216.1152,534.4124877017891,True
P0010,PK03,1,1,6,0,0.7384375000000001,7.5461,228926.32,443083.2,383.18598236041163,521065.84320000006,1193458.5491823605,True
P0011,PK03,63,86,119,63,0.7275,18.500400000000003,876.68,1696.8,165.78546135253185,1995.4368000000002,4734.702261352531,True
P0012,PK01,3,5,14,3,0.5253409090909091,5.4402,5365.629090909091,11079.2,9.676636888464008,5583.9168,22038.422527797557,True
P0013,PK03,6,10,11,6,0.5998214285714285,18.4602,2391.96,4629.599999999999,4.0825781627399955,5444.409600000001,12470.052178162741,True
P0014,PK01,3,4,15,3,0.6539772727272727,5.2029000000000005,2648.72,5469.200000000001,214.64243453260812,2756.4768,11089.039234532609,True
P0015,PK03,2,5,10,2,0.37217261904761906,8.413599999999999,7960.8,15408.0,8.009880540479992,18119.808,41496.61788054048,True
P0016,PK02,4,9,14,4,0.43625,13.0968,13947.500000000002,24547.6,298.1640715977602,28278.835199999998,67072.09927159776,True
P0017,PK01,1,1,4,0,0.8999621212121212,6.0919,16081.97090909091,33206.8,23.516559710784016,16736.2272,66048.5146688017,True
P0018,PK04,2,5,6,2,0.38306220095693777,8.2456,82695.2,59068.0,391.5067206239999,77774.8356,219929.542320624,False
P0019,PK03,2,4,15,2,0.4691666666666667,6.6508,65875.0,127500.0,402.1414897499996,149940.00000000003,343717.14148975,True
P0020,PK06,14,27,323,14,0.5150468704022868,133.93540000000002,2983.971428571428,2046.0,21.38002923225602,29734.425,34785.77645780369,True
P0021,PK03,2,3,7,2,0.5933035714285715,10.4642,6450.48,12484.8,19.61820009979198,14682.124800000001,33637.0230000998,True
