cost_component,baseline_b_eur,target_plus_eur,saving_eur
transport_eur,6128449.756806861,5334177.4424934685,794272.3143133922
packaging_material_eur,13724196.095454544,9481222.365584414,4242973.729870129
packaging_cleaning_repair_eur,2072232.07,2632471.81,-560239.74
reverse_logistics_eur,2790422.1100000003,3323839.37,-533417.2599999998
inventory_eur,3140746.9129304844,3554174.208453793,-413427.2955233087
handling_eur,20930920.3,20280151.2,650769.1000000015
damage_eur,221508.4758016871,200961.71414319568,20546.76165849142
dock_wait_eur,3482844.80099661,2930680.708197436,552164.0927991741
dock_overtime_eur,95655.2970899092,120841.48229123284,-25186.185201323635
premium_freight_eur,309954.1995199762,123768.62987173974,186185.56964823647
line_stop_exposure_eur,24938.89544702804,1691.0462012439073,23247.849245784135
