route_id,frequency_per_week,suppliers,n_stops,route_km,load_weight_kg,load_cube_m3,pallet_positions_used,weight_utilization,cube_utilization,pallet_position_utilization,route_duration_h,vehicle_id,feasible,annual_trips,tonne_km_per_trip,wtw_gco2e_tkm,annual_co2e_kg
R000,1.0,S047,1,266.681620664042,8262.400698,71.761458,27,0.34426669574999996,0.7973495333333334,0.8181818181818182,5.1987567393462175,V03,True,50.0,2203.4304087183514,115.0,12669.72485013052
R001,1.0,S042,1,226.3746107671971,4769.484936,67.620474,25,0.19872853899999998,0.7513386,0.7575757575757576,4.332568680615705,V03,True,50.0,1079.6902959470099,115.0,6208.219201695306
R002,1.0,S041,1,468.97736789742845,7114.5014,57.115284,21,0.29643755833333335,0.6346142666666666,0.6363636363636364,8.8268612344987,V03,True,50.0,3336.54014047457,115.0,19185.105807728778
R003,1.0,S038|S052,2,448.5362444060924,6956.929120000001,53.292511499999996,20,0.2898720466666667,0.5921390166666666,0.6060606060606061,8.955204443747135,V03,True,50.0,3120.4348600841818,115.0,17942.500445484042
R004,1.0,S051,1,519.9936161146596,4087.869686,30.022584000000002,12,0.17032790358333333,0.3335842666666667,0.36363636363636365,9.737762717236235,V03,True,50.0,2125.6661402286386,115.0,12222.580306314674
R005,1.0,S057|S005,2,520.6147224184389,11042.176254,59.127168000000005,22,0.46009067725,0.6569685333333334,0.6666666666666666,10.115722225789797,V03,True,50.0,5748.719525371686,115.0,33055.13727088719
R006,1.0,S014,1,89.94117633208941,9565.260240000001,80.761725,30,0.3985525100000001,0.8973525,0.9090909090909091,2.0186274484622317,V03,True,50.0,860.310757908164,115.0,4946.786857971943
R007,1.0,S037|S028,2,387.26523354881743,8002.620224000001,81.783426,30,0.33344250933333336,0.9087047333333333,0.9090909090909091,7.874519397857286,V03,True,50.0,3099.13659004985,115.0,17820.035392786638
R008,2.0,S046,1,202.67489731093983,9420.853018,63.248679,24,0.39253554241666666,0.7027631000000001,0.7272727272727273,4.268331466259512,V03,True,100.0,1909.3704180046072,115.0,21957.759807052986
R009,2.0,S002,1,277.36436180591045,2060.869683,42.759264,16,0.08586957012499999,0.47510293333333337,0.48484848484848486,5.359655063137765,V03,True,100.0,571.6118043904439,115.0,6573.535750490106
R010,2.0,S007,1,263.4561800375918,6935.235044,69.98349675,26,0.28896812683333334,0.7775944083333334,0.7878787878787878,5.2401123643198515,V03,True,100.0,1827.13053235508,115.0,21012.00112208342
R011,2.0,S010,1,345.1943620628819,6626.506858,76.12670924999999,28,0.27610445241666665,0.8458523249999998,0.8484848484848485,6.792927795082702,V03,True,100.0,2287.432807552622,115.0,26305.47728685515
R012,2.0,S039,1,519.9911537709079,10320.891834999999,73.844658,28,0.4300371597916666,0.8204961999999999,0.8484848484848485,9.671051280683173,V03,True,100.0,5366.772453226392,115.0,61717.88321210351
R013,2.0,S035,1,291.9941273382052,2908.636908,52.32624975000001,20,0.1211932045,0.5814027750000001,0.6060606060606061,5.52565080008858,V03,True,100.0,849.3048956951554,115.0,9767.006300494288
R014,2.0,S049,1,85.92838878973583,6635.930347,66.50908650000001,25,0.2764970977916667,0.7389898500000001,0.7575757575757576,1.945667674964894,V03,True,100.0,570.2148028386226,115.0,6557.47023264416
R015,3.0,S018,1,233.02041541461557,10679.040981333334,70.81523750000001,26,0.4449600408888889,0.7868359722222223,0.7878787878787878,4.636734825720284,V03,True,150.0,2488.434565699997,115.0,42925.49625832496
R016,3.0,S030,1,222.85266881955891,9484.655899333333,80.323751,30,0.39519399580555553,0.8924861222222222,0.9090909090909091,4.668533372476828,V03,True,150.0,2113.680880001607,115.0,36460.99518002772
R017,3.0,S031,1,389.8989597318772,9092.786852000001,66.132619,25,0.3788661188333334,0.7348068777777779,0.7575757575757576,7.672405328458373,V03,True,150.0,3545.268134658491,115.0,61155.87532285898
R018,3.0,S011,1,236.84704346898653,5029.857008000001,66.80268350000001,25,0.20957737533333337,0.742252038888889,0.7575757575757576,4.5563098812543,V03,True,150.0,1191.3067614165627,115.0,20550.04163443571
R019,3.0,S054,1,127.49242644173025,7268.561952666667,68.580046,26,0.3028567480277778,0.7620005111111111,0.7878787878787878,2.8180441171223682,V03,True,150.0,926.6866000875141,115.0,15985.343851509617
