supplier_id,frequency_per_week,minimum_physical_frequency,annual_weight_kg,annual_cube_m3,annual_value,distance_km
S000,10.0,8.880816407407409,4063341.9323000005,35967.306450000004,25860666.41,137.4
S001,3.0,2.4842674259259256,845595.1055000001,10061.283075,436688.38,94.2
S002,2.0,1.0557842962962964,206086.9683,4275.9264,941893.89,138.7
S003,15.0,14.488463814814814,5363074.2693,58678.27845,27977522.630000003,230.2
S004,5.0,3.6135086851851854,2578526.1916,14634.710175,24933326.549999997,60.4
S005,1.0,1.0,543615.0375,2734.1952,5653038.23,224.8
S006,15.0,12.957502592592592,2784855.8455,52477.8855,9289077.86,159.8
S007,2.0,1.727987574074074,693523.5044,6998.3496749999995,3732109.87,131.7
S008,10.0,7.7449865,637998.7814,31367.195325,10549359.77,97.3
S009,25.0,22.101468351851853,5559753.823,89510.946825,54620236.22,260.0
S010,2.0,1.879671833333333,662650.6858,7612.670924999999,12399209.08,172.6
S011,3.0,2.4741734629629635,754478.5512000001,10020.402525000001,3212046.84,118.4
S012,15.0,13.616984685185185,3573909.3177,55148.787975,14260303.65,57.6
S013,7.5,5.721122685185185,1303297.225,23170.546875,278807.5,97.4
S014,1.0,1.0,478263.01200000005,4038.08625,4113618.79,45.0
S015,7.5,5.902646814814815,1191015.4118,23905.7196,6452375.71,260.0
S016,15.0,12.954376425925926,2433938.6106,52465.224525,18133522.349999998,58.7
S017,5.0,3.202389148148148,1442100.1923,12969.67605,19140343.39,120.9
S018,3.0,2.622786574074074,1601856.1472,10622.285625,22265191.09,116.5
S019,10.0,8.451910092592593,2656741.6927,34230.235875,3569708.84,186.0
S020,12.5,11.592436499999998,2923036.7716000006,46949.367824999994,71714655.26,49.1
S021,5.0,3.8284011111111114,1757775.1149000002,15505.024500000001,30834539.7,215.7
S022,7.5,7.39459787037037,2951034.228,29948.121375,14702216.07,101.5
S023,12.5,11.173901074074074,4534636.0127,45254.29935,44055949.81,100.1
S024,7.5,5.6215048888888886,1953572.7965,22767.0948,15706542.43,136.7
S025,5.0,4.600839481481483,1809049.2096,18633.399900000004,6865260.0,59.5
S026,7.5,6.293904944444445,1266518.102,25490.315025,6230643.6899999995,119.3
S027,12.5,11.257179851851854,3319548.7874000003,45591.578400000006,35110023.11,56.1
S028,1.0,1.0,364489.95900000003,3885.2865,7813052.4799999995,192.9
S029,12.5,11.05163075925926,4812212.4752,44759.104575,11176673.43,260.0
S030,3.0,2.9749537407407405,1422698.3849,12048.56265,47710662.09,111.4
S031,3.0,2.4493562592592593,1363918.0278,9919.89285,6187037.05,194.9
S032,7.5,6.296913296296296,1405293.203,25502.49885,7060146.609999999,216.2
S033,12.5,11.652402814814815,2297910.7075,47192.231400000004,20164329.62,130.9
S034,5.0,4.967293722222222,1221798.0242,20117.539575,5504462.43,136.3
S035,2.0,1.292006166666667,290863.6908,5232.624975000001,4532354.68,146.0
S036,3.0,2.264256,893199.1366000001,9170.2368,7489349.0200000005,260.0
S037,1.0,1.0,35641.0522,203.88480000000004,2604587.44,71.3
S038,1.0,1.0,191930.1002,1486.4655749999997,924466.05,130.0
S039,2.0,1.8233248888888889,1032089.1834999999,7384.4658,4675573.08,260.0
S040,12.5,10.677857462962963,3556660.5261,43245.322725000005,31442310.810000002,115.1
S041,1.0,1.0,355725.07,2855.7642,2086460.6400000001,234.5
S042,1.0,1.0,238474.2468,3381.0237,2772204.81,113.2
S043,7.5,5.338268648148149,2499352.1898,21619.988025000002,22293122.68,48.9
S044,3.0,2.546194444444444,1944848.5315,10312.0875,5876003.51,74.9
S045,5.0,3.9947177037037047,931832.5700000001,16178.606700000004,14368226.66,260.0
S046,2.0,1.5616957777777778,942085.3018,6324.8679,5712914.39,101.3
S047,1.0,1.0,413120.03489999997,3588.0729,1351753.04,133.3
S048,3.0,2.444419166666667,1134965.8915000001,9899.897625000001,9425692.700000001,58.1
S049,2.0,1.642199666666667,663593.0347000001,6650.908650000001,13126230.61,43.0
S050,7.5,6.780792296296297,1116789.3115,27462.2088,5967232.56,37.4
S051,1.0,1.0,204393.4843,1501.1292,3118065.23,260.0
S052,1.0,1.0,155916.35580000002,1178.16,1631724.1,223.1
S053,5.0,4.085836425925926,1647776.4224,16547.637525000002,9195661.84,81.6
S054,3.0,2.540001703703704,1090284.2929,10287.0069,18557109.27,63.7
S055,7.5,5.773618740740741,1925191.7534,23383.155899999998,30265523.35,99.4
S056,25.0,23.628772074074075,11393188.943400001,95696.5269,37690844.019999996,102.9
S057,1.0,1.0,8493.7752,222.16320000000005,12199.14,75.2
S058,3.0,2.9994778888888893,819195.9452,12147.885450000002,32962398.05,260.0
S059,5.0,3.5788650740740744,1388237.8897,14494.40355,44066736.15,113.6
