policy,scenario,fill_rate,critical_fill_rate,line_stop_probability,mean_line_stop_events,premium_freight_events,p95_shortage_duration_days,mean_disruption_cost_eur
Nominal joint,carrier,0.9948782680327697,0.9987367463311649,1.0,12.8,1351.08,3.0,1205195.7173540457
Nominal joint,combined,0.9787871899053816,0.9896483029750971,1.0,76.4,7058.44,4.0,7338307.998183872
Nominal joint,container,0.9974140363383641,0.9996108934871866,1.0,4.76,967.36,3.0,711716.2890146987
Nominal joint,correlated,0.9986684103478631,0.9999321693948338,0.8,1.44,419.88,2.0,282067.142388617
Nominal joint,demand10,0.9962715915799393,0.9996281737632313,0.96,4.48,1558.44,3.0,1070560.8901236139
Nominal joint,nominal,0.9987643338942278,0.999913609077439,0.48,0.72,401.24,2.0,262226.0835701244
Target+ robust,carrier,0.9965814710444547,0.9996795976900337,0.96,3.16,898.96,3.0,654538.1212809983
Target+ robust,combined,0.9823934642462605,0.994657699490562,1.0,43.6,5746.92,4.0,5265785.524076829
Target+ robust,container,0.9982841926888618,0.99997333655621,0.56,0.68,610.32,3.0,387824.3345800628
Target+ robust,correlated,0.9992876388799081,1.0,0.0,0.0,210.92,3.0,125844.01431356824
Target+ robust,demand10,0.9975988290078834,0.9999631993540662,0.36,0.52,944.2,3.0,586443.9908670195
Target+ robust,nominal,0.9993214110344294,1.0,0.0,0.0,201.12,3.0,121548.23150544142
