part_id,line_family,returnable_packaging,expendable_alternative,break_even_cycles,annual_container_cycles,npv_advantage_returnable_eur_5y
P0000,electronics,PK03,PK04,69.44444444444446,15055.0,127994.95163727064
P0001,body,PK06,PK05,108.22510822510822,13911.0,631901.0411426967
P0002,thermal,PK06,PK05,108.22510822510822,1736.0,77763.02619680265
P0003,powertrain,PK06,PK05,108.22510822510822,12175.0,552888.0149458942
P0004,interior,PK03,PK04,69.44444444444446,7554.0,64148.03817123496
P0006,thermal,PK03,PK04,69.44444444444446,4964.0,42102.51012470351
P0007,electronics,PK02,PK04,90.2439024390244,3966.0,31853.602294565033
P0008,body,PK03,PK04,69.44444444444446,20655.0,175660.95822436563
P0009,thermal,PK03,PK04,69.44444444444446,81.0,539.4547381347672
P0010,electronics,PK03,PK04,69.44444444444446,184618.0,1571279.072160055
P0011,thermal,PK03,PK04,69.44444444444446,707.0,5867.833331620746
P0012,chassis,PK03,PK04,69.44444444444446,3777.0,31999.01908561748
P0013,chassis,PK03,PK04,69.44444444444446,1929.0,16269.236911876123
P0014,body,PK03,PK04,69.44444444444446,1864.0,15715.9707639902
P0015,thermal,PK03,PK04,69.44444444444446,6420.0,54495.67183734823
P0016,body,PK02,PK04,90.2439024390244,8767.0,70637.59866778912
P0017,body,PK01,PK04,52.631578947368425,15094.0,135494.5175107801
P0018,thermal,PK02,PK04,90.2439024390244,29534.0,238399.99247798382
P0019,body,PK03,PK04,69.44444444444446,53125.0,452038.6785606113
P0020,electronics,PK06,PK05,108.22510822510822,372.0,15681.362756457711
P0021,electronics,PK03,PK04,69.44444444444446,5202.0,44128.31540465505
P0022,electronics,PK01,PK04,52.631578947368425,2543.0,22728.000399490775
P0023,interior,PK06,PK04,inf,2561.0,-17901.774200955537
P0024,body,PK01,PK04,52.631578947368425,5049.0,45243.56823320052
P0025,interior,PK02,PK04,90.2439024390244,3684.0,29575.5171087185
P0026,electronics,PK02,PK04,90.2439024390244,6558.0,52792.59804532463
P0027,powertrain,PK02,PK04,90.2439024390244,1173.0,9290.864975170141
P0028,powertrain,PK06,PK05,108.22510822510822,17337.0,787833.4303997509
P0029,electronics,PK02,PK04,90.2439024390244,7332.0,59045.21483200979
P0030,body,PK03,PK04,69.44444444444446,15095.0,128335.42311289275
P0031,powertrain,PK02,PK04,90.2439024390244,23819.0,192232.41504141316
P0032,interior,PK02,PK04,90.2439024390244,4278.0,34374.03696826758
P0033,body,PK03,PK04,69.44444444444446,19892.0,169166.46482687397
P0034,electronics,PK03,PK04,69.44444444444446,1955.0,16490.543371030493
P0035,chassis,PK03,PK04,69.44444444444446,16170.0,137485.59402023687
P0036,thermal,PK02,PK04,90.2439024390244,19832.0,160024.16810534892
P0037,powertrain,PK03,PK04,69.44444444444446,7559.0,64190.59710568772
P0038,electronics,PK06,PK05,108.22510822510822,4955.0,224273.9313393762
P0039,powertrain,PK02,PK04,90.2439024390244,945.0,7449.008867464438
P0040,chassis,PK06,PK05,108.22510822510822,459.0,19641.11694950024
P0041,thermal,PK02,PK04,90.2439024390244,828.0,6503.845864825982
P0042,electronics,PK03,PK04,69.44444444444446,10069.0,85555.18220097494
P0043,interior,PK03,PK04,69.44444444444446,3816.0,32330.97877434903
P0044,chassis,PK01,PK04,52.631578947368425,11630.0,104371.64162252366
P0045,electronics,PK06,PK04,inf,540.0,-4761.112092352982
P0046,interior,PK02,PK04,90.2439024390244,6615.0,53253.062072251065
P0047,interior,PK03,PK04,69.44444444444446,34002.0,289267.77785257227
P0048,interior,PK03,PK04,69.44444444444446,3657.0,30977.604658751156
P0050,powertrain,PK01,PK04,52.631578947368425,12828.0,115135.26902267699
P0051,body,PK03,PK04,69.44444444444446,1259.0,10566.339695205827
P0052,powertrain,PK03,PK04,69.44444444444446,5789.0,49124.73430940947
P0053,electronics,PK02,PK04,90.2439024390244,4931.0,39649.17748726682
P0054,electronics,PK02,PK04,90.2439024390244,10089.0,81317.13276597747
P0055,thermal,PK03,PK04,69.44444444444446,10091.0,85742.44151256712
P0056,body,PK02,PK04,90.2439024390244,6029.0,48519.16874279693
P0057,body,PK03,PK04,69.44444444444446,69699.0,593113.0344846314
P0059,interior,PK06,PK04,inf,709.0,-5859.96013607086
P0060,electronics,PK02,PK04,90.2439024390244,9786.0,78869.40293863173
P0061,powertrain,PK03,PK04,69.44444444444446,22905.0,194812.47872810916
P0062,thermal,PK03,PK04,69.44444444444446,303.0,2429.071427837463
P0063,body,PK06,PK05,108.22510822510822,19681.0,894519.2215318392
P0065,powertrain,PK03,PK04,69.44444444444446,5034.0,42698.3352070422
P0066,interior,PK03,PK04,69.44444444444446,975.0,8148.992218288866
P0069,body,PK06,PK04,inf,2157.0,-15274.942191121077
P0070,interior,PK02,PK04,90.2439024390244,2742.0,21965.743190039666
P0071,thermal,PK06,PK04,inf,536.0,-4735.1038546318505
P0072,chassis,PK03,PK04,69.44444444444446,6596.0,55993.74633008549
P0073,interior,PK06,PK05,108.22510822510822,2201.0,98927.22964237478
P0074,chassis,PK02,PK04,90.2439024390244,2518.0,20156.20034738143
P0075,interior,PK02,PK04,90.2439024390244,10046.0,80969.76516671717
P0076,powertrain,PK03,PK04,69.44444444444446,756.0,6284.910889257826
P0077,interior,PK03,PK04,69.44444444444446,4277.0,36254.91253089382
P0078,powertrain,PK02,PK04,90.2439024390244,1924.0,15357.680487832356
P0079,electronics,PK06,PK05,108.22510822510822,25545.0,1161415.7570261084
P0080,chassis,PK03,PK04,69.44444444444446,21296.0,181117.0136212099
P0081,chassis,PK03,PK04,69.44444444444446,12782.0,108647.66003504438
P0082,electronics,PK02,PK04,90.2439024390244,3783.0,30375.27041864335
P0083,interior,PK01,PK04,52.631578947368425,13691.0,122889.03400292103
P0084,powertrain,PK02,PK04,90.2439024390244,12839.0,103532.50248611206
P0085,thermal,PK03,PK04,69.44444444444446,63.0,386.2425741048189
P0087,interior,PK02,PK04,90.2439024390244,1887.0,15058.78278614327
P0088,interior,PK03,PK04,69.44444444444446,2476.0,20925.184341008437
P0089,body,PK06,PK04,inf,1684.0,-12199.468080597075
P0090,thermal,PK02,PK04,90.2439024390244,1888.0,15066.861102405139
P0091,body,PK02,PK04,90.2439024390244,7571.0,60975.93241859603
P0093,body,PK03,PK04,69.44444444444446,15130.0,128633.33565406207
P0094,interior,PK03,PK04,69.44444444444446,30236.0,257212.38842275087
P0095,powertrain,PK03,PK04,69.44444444444446,21914.0,186377.29791957146
P0097,electronics,PK03,PK04,69.44444444444446,2333.0,19707.998815659404
P0098,powertrain,PK02,PK04,90.2439024390244,5030.0,40448.93079719166
P0100,powertrain,PK06,PK04,inf,2378.0,-16711.89732521369
P0102,body,PK06,PK05,108.22510822510822,401.0,17001.28082080522
P0103,electronics,PK03,PK04,69.44444444444446,6427.0,54555.25434558209
P0104,body,PK03,PK04,69.44444444444446,7534.0,63977.802433423894
P0105,interior,PK03,PK04,69.44444444444446,63663.0,541735.8888132554
P0106,thermal,PK06,PK05,108.22510822510822,4370.0,197647.99797236614
P0107,powertrain,PK02,PK04,90.2439024390244,12787.0,103112.43004049498
P0108,powertrain,PK06,PK04,inf,280.0,-3070.5766404793235
P0110,electronics,PK02,PK04,90.2439024390244,1041.0,8224.527228603682
P0111,electronics,PK03,PK04,69.44444444444446,1257.0,10549.316121424721
P0112,chassis,PK06,PK05,108.22510822510822,2145.0,96378.42234570373
P0114,thermal,PK06,PK05,108.22510822510822,4366.0,197465.94030831818
P0116,electronics,PK03,PK04,69.44444444444446,6606.0,56078.86419899101
P0117,thermal,PK03,PK04,69.44444444444446,7565.0,64241.66782703104
P0118,powertrain,PK02,PK04,90.2439024390244,953.0,7513.635397559374
P0119,body,PK01,PK04,52.631578947368425,3647.0,32647.069389281496
P0120,interior,PK01,PK04,52.631578947368425,12885.0,115647.39486725863
P0121,thermal,PK06,PK04,inf,579.0,-5014.692410134031
P0122,powertrain,PK03,PK04,69.44444444444446,5540.0,47005.29937366186
P0123,interior,PK02,PK04,90.2439024390244,1373.0,10906.528227543567
P0124,body,PK03,PK04,69.44444444444446,7737.0,65705.69517220609
P0125,chassis,PK03,PK04,69.44444444444446,178.0,1365.0980665183774
P0127,body,PK03,PK04,69.44444444444446,30233.0,257186.85306207923
P0128,thermal,PK03,PK04,69.44444444444446,21644.0,184079.11545912226
P0129,interior,PK03,PK04,69.44444444444446,15144.0,128752.50067052981
P0130,powertrain,PK03,PK04,69.44444444444446,7546.0,64079.94387611054
P0132,powertrain,PK01,PK04,52.631578947368425,15306.0,137399.26626606597
P0133,chassis,PK03,PK04,69.44444444444446,15726.0,133706.3606408315
P0134,electronics,PK06,PK05,108.22510822510822,2561.0,115312.41940668868
P0135,chassis,PK02,PK04,90.2439024390244,25748.0,207815.48711055485
P0136,body,PK02,PK04,90.2439024390244,3768.0,30254.095674715343
P0137,powertrain,PK03,PK04,69.44444444444446,1369.0,11502.636253166622
P0138,chassis,PK03,PK04,69.44444444444446,15070.0,128122.62844062892
P0139,interior,PK06,PK05,108.22510822510822,15765.0,716284.7684289136
P0140,electronics,PK03,PK04,69.44444444444446,49397.0,420306.7370326307
P0141,chassis,PK06,PK05,108.22510822510822,1081.0,47951.08370895372
P0142,body,PK06,PK04,inf,723.0,-5950.988968094825
P0145,chassis,PK03,PK04,69.44444444444446,21313.0,181261.7139983493
P0146,thermal,PK02,PK04,90.2439024390244,1373.0,10906.528227543567
P0147,electronics,PK03,PK04,69.44444444444446,2136.0,18031.176798220527
P0148,interior,PK06,PK05,108.22510822510822,1444.0,64472.816721303585
