part_id,packaging_id,containers_per_day,loop_days,minimum_theoretical_fleet,operational_fleet,safety_allowance_units,container_asset_eur
P0000,PK03,41.24657534246575,3.1799999999999997,132,161,29,24150.0
P0001,PK06,38.11123287671233,3.02,116,142,26,177500.0
P0002,PK06,4.754109589041096,3.64,18,22,4,27500.0
P0003,PK06,33.35616438356165,9.84,329,375,46,468750.0
P0004,PK03,20.695890410958903,9.64,200,228,28,34200.0
P0006,PK03,13.6,6.08,83,97,14,14550.0
P0007,PK02,10.865410958904109,6.44,70,82,12,15170.0
P0008,PK03,56.587671232876716,9.280000000000001,526,600,74,90000.0
P0009,PK03,0.2215119228817859,6.08,2,3,1,450.0
P0010,PK03,505.8027397260274,9.64,4876,5554,678,833100.0
P0011,PK03,1.9353337682104805,8.66,17,20,3,3000.0
P0012,PK03,10.346575342465753,9.02,94,108,14,16200.0
P0013,PK03,5.282648401826484,4.18,23,28,5,4200.0
P0014,PK03,5.1068493150684935,10.4,54,62,8,9300.0
P0015,PK03,17.589041095890412,6.44,114,132,18,19800.0
P0016,PK02,24.017808219178082,8.66,208,238,30,44030.0
P0017,PK01,41.35342465753425,9.64,399,455,56,54600.0
P0018,PK02,80.91506849315068,5.34,433,507,74,93795.0
P0019,PK03,145.54794520547946,4.96,722,849,127,127350.0
P0020,PK06,1.0180039138943249,4.859999999999999,5,6,1,7500.0
P0021,PK03,14.252054794520548,6.12,88,103,15,15450.0
P0022,PK01,6.966210045662101,5.58,39,46,7,5520.0
P0023,PK06,7.016438356164383,6.08,43,50,7,62500.0
P0024,PK01,13.831050228310502,7.28,101,117,16,14040.0
P0025,PK02,10.091598173515981,8.219999999999999,83,96,13,17760.0
P0026,PK02,17.96541095890411,3.94,71,85,14,15725.0
P0027,PK02,3.2136986301369865,8.219999999999999,27,31,4,5735.0
P0028,PK06,47.49771689497717,3.2,152,186,34,232500.0
P0029,PK02,20.085844748858445,4.96,100,118,18,21830.0
P0030,PK03,41.35616438356164,7.98,331,380,49,57000.0
P0031,PK02,65.2568493150685,10.12,661,752,91,139120.0
P0032,PK02,11.718721461187215,6.44,76,88,12,16280.0
P0033,PK03,54.49691780821918,4.9,268,316,48,47400.0
P0034,PK03,5.354794520547945,5.52,30,36,6,5400.0
P0035,PK03,44.3,9.16,406,464,58,69600.0
P0036,PK02,54.33424657534247,6.08,331,385,54,71225.0
P0037,PK03,20.70958904109589,4.96,103,122,19,18300.0
P0038,PK06,13.573287671232876,4.96,68,80,12,100000.0
P0039,PK02,2.586815068493151,6.22,17,20,3,3700.0
P0040,PK06,1.2557729941291584,5.54,7,9,2,11250.0
P0041,PK02,2.2682648401826486,4.96,12,15,3,2775.0
P0042,PK03,27.58538812785388,9.64,266,303,37,45450.0
P0043,PK03,10.452876712328766,6.08,64,75,11,11250.0
P0044,PK01,31.863013698630137,4.859999999999999,155,183,28,21960.0
P0045,PK06,1.4780821917808218,8.66,13,15,2,18750.0
P0046,PK02,18.12146118721461,5.38,98,115,17,21275.0
P0047,PK03,93.15479452054795,6.12,571,664,93,99600.0
P0048,PK03,10.01917808219178,8.48,85,98,13,14700.0
P0050,PK01,35.14520547945205,6.44,227,263,36,31560.0
P0051,PK03,3.4479452054794524,4.96,18,22,4,3300.0
P0052,PK03,15.860273972602739,7.98,127,146,19,21900.0
P0053,PK02,13.508219178082191,4.9,67,79,12,14615.0
P0054,PK02,27.639383561643836,4.859999999999999,135,159,24,29415.0
P0055,PK03,27.646575342465752,9.64,267,305,38,45750.0
P0056,PK02,16.517260273972603,9.64,160,183,23,33855.0
P0057,PK03,190.95479452054795,3.88,741,887,146,133050.0
P0059,PK06,1.9412915851272015,8.4,17,20,3,25000.0
P0060,PK02,26.81095890410959,8.9,239,273,34,50505.0
P0061,PK03,62.75159817351598,4.859999999999999,305,360,55,54000.0
P0062,PK03,0.8284931506849315,3.2,3,4,1,600.0
P0063,PK06,53.91849315068493,10.14,547,622,75,777500.0
P0065,PK03,13.79178082191781,7.24,100,116,16,17400.0
P0066,PK03,2.6702054794520547,9.16,25,29,4,4350.0
P0069,PK06,5.909589041095891,9.280000000000001,55,63,8,78750.0
P0070,PK02,7.511643835616439,10.4,79,90,11,16650.0
P0071,PK06,1.4678082191780824,4.859999999999999,8,10,2,12500.0
P0072,PK03,18.07123287671233,7.98,145,167,22,25050.0
P0073,PK06,6.028493150684932,9.02,55,63,8,78750.0
P0074,PK02,6.896803652968036,3.56,25,31,6,5735.0
P0075,PK02,27.521461187214612,10.14,280,319,39,59015.0
P0076,PK03,2.0708219178082192,9.16,19,22,3,3300.0
P0077,PK03,11.715981735159817,10.4,122,139,17,20850.0
P0078,PK02,5.269406392694064,10.4,55,63,8,11655.0
P0079,PK06,69.98630136986301,8.82,618,707,89,883750.0
P0080,PK03,58.34337899543379,3.1799999999999997,186,227,41,34050.0
P0081,PK03,35.01735159817351,7.98,280,322,42,48300.0
P0082,PK02,10.362328767123287,10.14,106,121,15,22385.0
P0083,PK01,37.50958904109589,3.58,135,163,28,19560.0
P0084,PK02,35.175342465753424,5.54,195,228,33,42180.0
P0085,PK03,0.17059464508094646,3.64,1,2,1,300.0
P0087,PK02,5.167979452054794,9.16,48,55,7,10175.0
P0088,PK03,6.781506849315068,3.02,21,26,5,3900.0
P0089,PK06,4.611111111111111,8.4,39,45,6,56250.0
P0090,PK02,5.1722602739726025,4.859999999999999,26,31,5,5735.0
P0091,PK02,20.741780821917807,4.779999999999999,100,118,18,21830.0
P0093,PK03,41.45205479452055,3.2,133,162,29,24300.0
P0094,PK03,82.83835616438355,3.2,266,324,58,48600.0
P0095,PK03,60.038356164383565,9.82,590,672,82,100800.0
P0097,PK03,6.391359325605901,5.38,35,41,6,6150.0
P0098,PK02,13.778995433789953,7.24,100,116,16,21460.0
P0100,PK06,6.515068493150685,4.859999999999999,32,38,6,47500.0
P0102,PK06,1.0967465753424657,8.66,10,12,2,15000.0
P0103,PK03,17.606849315068494,5.38,95,112,17,16800.0
P0104,PK03,20.64109589041096,8.48,176,202,26,30300.0
P0105,PK03,174.4191780821918,8.48,1480,1694,214,254100.0
P0106,PK06,11.971819960861056,7.98,96,111,15,138750.0
P0107,PK02,35.03219178082192,5.52,194,227,33,41995.0
P0108,PK06,0.7654640169785839,10.4,8,10,2,12500.0
P0110,PK02,2.852054794520548,8.5,25,29,4,5365.0
P0111,PK03,3.442694063926941,6.08,21,25,4,3750.0
P0112,PK06,5.8744292237442925,8.48,50,58,8,72500.0
P0114,PK06,11.95958904109589,3.1799999999999997,39,48,9,60000.0
P0116,PK03,18.0986301369863,5.84,106,124,18,18600.0
P0117,PK03,20.724657534246575,4.859999999999999,101,119,18,17850.0
P0118,PK02,2.609417808219178,10.4,28,32,4,5920.0
P0119,PK01,9.991780821917809,5.34,54,64,10,7680.0
P0120,PK01,35.3013698630137,6.2,219,255,36,30600.0
P0121,PK06,1.5860273972602739,9.16,15,18,3,22500.0
P0122,PK03,15.177260273972603,6.08,93,108,15,16200.0
P0123,PK02,3.7592465753424658,9.64,37,43,6,7955.0
P0124,PK03,21.197260273972603,4.96,106,125,19,18750.0
P0125,PK03,0.486986301369863,10.14,5,6,1,900.0
P0127,PK03,82.83013698630137,3.02,251,308,57,46200.0
P0128,PK03,59.297716894977164,10.42,618,703,85,105450.0
P0129,PK03,41.489041095890414,4.18,174,207,33,31050.0
P0130,PK03,20.672602739726027,5.54,115,135,20,20250.0
P0132,PK01,41.93424657534246,8.66,364,417,53,50040.0
P0133,PK03,43.08401826484018,3.56,154,186,32,27900.0
P0134,PK06,7.016438356164383,9.280000000000001,66,76,10,95000.0
P0135,PK02,70.54246575342465,4.9,346,408,62,75480.0
P0136,PK02,10.321917808219178,4.96,52,62,10,11470.0
P0137,PK03,3.7506849315068496,9.280000000000001,35,40,5,6000.0
P0138,PK03,41.28767123287671,5.58,231,270,39,40500.0
P0139,PK06,43.191232876712334,3.54,153,185,32,231250.0
