part_id,operational_fleet,containers_shipped,container_shortages,containers_lost,container_shortage_rate
P0000,161,7416,0,16,0.0
P0001,142,6914,1,11,0.00014461315979754158
P0002,22,946,0,1,0.0
P0003,375,6144,0,7,0.0
P0004,228,3730,0,6,0.0
P0006,97,2397,0,7,0.0
P0007,82,2009,0,2,0.0
P0008,600,10118,0,15,0.0
P0009,3,101,27,0,0.2109375
P0010,5554,90140,0,128,0.0
P0011,20,403,8,1,0.019464720194647202
P0012,108,1900,0,2,0.0
P0013,28,1001,0,0,0.0
P0014,62,979,0,4,0.0
P0015,132,3180,0,9,0.0
P0016,238,4198,61,5,0.014322610941535571
P0017,455,7383,0,8,0.0
P0018,507,14418,81,25,0.00558659217877095
P0019,849,25457,750,42,0.028618308085625977
P0020,6,201,54,0,0.21176470588235294
P0021,103,2687,4,2,0.0014864362690449647
P0022,46,1250,8,3,0.006359300476947536
P0023,50,1317,3,3,0.0022727272727272726
P0024,117,2514,0,4,0.0
P0025,96,1880,0,6,0.0
P0026,85,3355,0,3,0.0
P0027,31,601,0,0,0.0
P0028,186,8495,0,12,0.0
P0029,118,3577,115,6,0.03114842903575298
P0030,380,7431,0,20,0.0
P0031,752,11715,0,18,0.0
P0032,88,2141,0,3,0.0
P0033,316,9571,287,15,0.029113410428078718
P0034,36,1008,5,1,0.004935834155972359
P0035,464,8010,0,13,0.0
P0036,385,9563,0,12,0.0
P0037,122,3674,60,2,0.016068559185859668
P0038,80,2372,42,1,0.01739850869925435
P0039,20,523,0,0,0.0
P0040,9,263,13,1,0.04710144927536232
P0041,15,447,9,0,0.019736842105263157
P0042,303,4990,0,6,0.0
P0043,75,1948,0,3,0.0
P0044,183,5544,162,6,0.028391167192429023
P0045,15,290,33,1,0.1021671826625387
P0046,115,3176,15,9,0.004700720777185835
P0047,664,16722,0,32,0.0
P0048,98,1859,0,4,0.0
P0050,263,6318,0,9,0.0
P0051,22,671,10,0,0.014684287812041116
P0052,146,2882,0,1,0.0
P0053,79,2326,82,4,0.0340531561461794
P0054,159,4876,127,4,0.02538476913851689
P0055,305,4980,0,4,0.0
P0056,183,3008,0,4,0.0
P0057,887,34627,0,45,0.0
P0059,20,395,0,1,0.0
P0060,273,4721,0,6,0.0
P0061,360,10801,434,17,0.038629283489096576
P0062,4,197,2,0,0.010050251256281407
P0063,622,9775,0,12,0.0
P0065,116,2506,0,4,0.0
P0066,29,526,0,0,0.0
P0069,63,1114,0,1,0.0
P0070,90,1402,0,2,0.0
P0071,10,312,17,1,0.05167173252279635
P0072,167,3198,0,6,0.0
P0073,63,1139,6,3,0.005240174672489083
P0074,31,1291,0,7,0.0
P0075,319,4954,0,6,0.0
P0076,22,426,10,2,0.022935779816513763
P0077,139,2147,0,3,0.0
P0078,63,971,0,2,0.0
P0079,707,12534,0,15,0.0
P0080,227,10463,0,18,0.0
P0081,322,6440,0,7,0.0
P0082,121,1915,0,6,0.0
P0083,163,6516,30,6,0.00458295142071494
P0084,228,6348,11,7,0.0017298317345494575
P0085,2,102,26,1,0.203125
P0087,55,986,0,0,0.0
P0088,26,1240,0,1,0.0
P0089,45,882,0,2,0.0
P0090,31,963,25,0,0.025303643724696356
P0091,118,3622,133,5,0.03541944074567244
P0093,162,7421,0,12,0.0
P0094,324,14839,0,15,0.0
P0095,672,10892,0,19,0.0
P0097,41,1186,17,3,0.014131338320864505
P0098,116,2508,0,4,0.0
P0100,38,1191,55,1,0.044141252006420544
P0102,12,252,4,0,0.015625
P0103,112,3154,14,6,0.004419191919191919
P0104,202,3728,0,4,0.0
P0105,1694,31549,0,47,0.0
P0106,111,2138,0,3,0.0
P0107,227,6326,18,8,0.0028373266078184113
P0108,10,189,10,0,0.05025125628140704
P0110,29,570,22,0,0.037162162162162164
P0111,25,680,0,3,0.0
P0112,58,1104,0,2,0.0
P0114,48,2225,5,4,0.002242152466367713
P0116,124,3197,0,1,0.0
P0117,119,3596,133,5,0.0356663984982569
P0118,32,518,0,1,0.0
P0119,64,1826,18,2,0.009761388286334056
P0120,255,6330,0,10,0.0
P0121,18,345,2,0,0.005763688760806916
P0122,108,2791,0,7,0.0
P0123,43,732,0,2,0.0
P0124,125,3735,114,7,0.029618082618862042
P0125,6,107,23,2,0.17692307692307693
P0127,308,14817,0,19,0.0
P0128,703,10326,0,14,0.0
P0129,207,7429,0,7,0.0
P0130,135,3712,3,8,0.0008075370121130552
P0132,417,7272,27,10,0.0036991368680641184
P0133,186,7810,0,13,0.0
P0134,76,1310,0,2,0.0
P0135,408,12314,421,18,0.03305850019630938
P0136,62,1848,52,2,0.02736842105263158
P0137,40,685,5,1,0.007246376811594203
P0138,270,7379,2,8,0.00027096599376778217
P0139,185,7869,0,8,0.0
P0140,1129,23573,9,30,0.00038164701891273004
P0141,21,587,2,0,0.003395585738539898
P0142,10,404,0,1,0.0
P0145,691,10486,0,14,0.0
P0146,23,660,35,1,0.050359712230215826
P0147,65,1055,0,4,0.0
P0148,15,737,0,0,0.0
P0149,145,2494,0,1,0.0
P0151,351,5866,0,14,0.0
P0152,28,1332,1,2,0.0007501875468867217
P0153,104,2513,0,1,0.0
P0154,25,926,0,2,0.0
P0155,23,398,0,1,0.0
P0156,196,4241,0,5,0.0
P0157,12,366,15,1,0.03937007874015748
P0158,46,1407,116,3,0.07616546290216678
P0159,70,1283,17,3,0.013076923076923076
P0160,214,4701,8,4,0.0016988744956466342
P0162,196,3022,0,7,0.0
P0163,38,1100,10,2,0.009009009009009009
P0164,725,27675,0,34,0.0
P0165,895,24817,136,38,0.0054502464633511
P0166,304,5476,9,5,0.0016408386508659982
P0168,37,679,1,1,0.0014705882352941176
P0169,175,2839,0,3,0.0
P0170,17,796,0,1,0.0
P0171,279,4943,0,9,0.0
P0172,67,2396,0,2,0.0
P0173,306,5451,1,9,0.00018341892883345562
P0174,1147,22460,0,34,0.0
P0175,77,1294,0,1,0.0
P0176,76,1627,0,0,0.0
P0177,172,2550,5,1,0.0019569471624266144
P0178,62,968,0,1,0.0
P0179,19,526,0,1,0.0
P0180,5,260,0,0,0.0
P0182,36,1055,9,1,0.008458646616541353
P0183,16,485,36,1,0.0690978886756238
P0184,3069,46511,0,64,0.0
P0185,5,128,4,0,0.030303030303030304
P0186,115,1967,0,2,0.0
P0187,853,14805,0,18,0.0
P0188,23,976,0,3,0.0
P0189,161,4855,196,6,0.03880419718867551
P0190,276,4781,14,7,0.00291970802919708
P0191,18,515,25,1,0.046296296296296294
P0192,178,2947,0,2,0.0
P0194,188,3981,0,3,0.0
P0195,410,7384,0,15,0.0
