candidate_id,frequency_scale,risk_frequency_boost,safety_multiplier,critical_safety_multiplier,annual_cost_eur,annual_co2e_kg,inventory_value_eur,fill_rate,critical_fill_rate,chance_critical_ge_999,line_stop_probability,mean_line_stop_events,p95_shortage_duration_days,cvar95_disruption_eur,mean_cube_utilization,mean_weight_utilization
0,0.9,0.0,1.0,1.0,48189825.52215997,3346666.3894221615,14934197.083194893,0.9975478710806213,0.9996690854028798,0.9,0.8333333333333334,3.4,3.0,1074832.8934789598,0.7474292735614034,0.26173558839667643
1,0.9,0.0,1.15,1.35,48195052.071712635,3346666.3894221615,16155337.311153604,0.998398210149381,0.9999156603374301,1.0,0.3,0.5,3.0,666668.7881021065,0.7474292735614034,0.26173558839667643
2,0.9,0.18,1.0,1.0,49343079.8410139,3416737.9430970894,14717710.864706082,0.9972668281249272,0.9996115402129504,0.9,0.9,4.766666666666667,3.0,1312624.7147371122,0.6705142075030864,0.23069827783138375
3,0.9,0.18,1.15,1.35,49263877.010903485,3416737.9430970894,15938851.09266479,0.9982776409659948,0.9999468461081213,1.0,0.4,1.0,3.0,713925.4659311168,0.6705142075030864,0.23069827783138375
4,1.0,0.0,1.0,1.0,48200960.83282891,3346666.3894221615,14934197.083194893,0.9975658562459973,0.9997762849562589,0.9666666666666667,0.7666666666666667,2.7666666666666666,3.0,1143755.876603919,0.7474292735614034,0.26173558839667643
5,1.0,0.0,1.15,1.35,48178537.325197496,3346666.3894221615,16155337.311153604,0.9984181327038665,0.9999766725539944,1.0,0.3333333333333333,0.5666666666666667,3.0,608221.8790898006,0.7474292735614034,0.26173558839667643
6,1.0,0.18,1.0,1.0,50747150.852670744,3609073.8130870853,14497003.150496036,0.9971543650687872,0.9996949293653102,0.9,0.8666666666666667,4.433333333333334,3.0,1370707.9185128987,0.6039240128680555,0.2063169754819213
7,1.0,0.18,1.15,1.35,50692093.28510347,3609073.8130870853,15718143.378454745,0.9981413456072736,0.9999538889617673,1.0,0.4,0.7666666666666667,3.0,788224.0199399828,0.6039240128680555,0.2063169754819213
8,1.1,0.0,1.0,1.0,50257073.67237828,3609073.8130870853,14499305.014607908,0.9970867115831811,0.9995904304281285,0.9,0.9333333333333333,4.5,3.0,1452436.4588786885,0.6075653887476853,0.20698188020052663
9,1.1,0.0,1.15,1.35,50172978.176207356,3609073.8130870853,15720445.242566617,0.9981581601551687,0.9999531433375543,1.0,0.3333333333333333,0.7,3.0,757179.256570213,0.6075653887476853,0.20698188020052663
10,1.1,0.18,1.0,1.0,51200935.18898214,3609073.8130870853,14482027.523447178,0.997105472005783,0.9996784556665528,0.9333333333333333,0.9333333333333333,4.533333333333333,3.0,1377149.2344714464,0.5885130021035879,0.202121477751522
11,1.1,0.18,1.15,1.35,51128210.48513927,3609073.8130870853,15703167.751405887,0.9981746846258174,0.9999818308184751,1.0,0.36666666666666664,0.6666666666666666,3.0,757376.8557117708,0.5885130021035879,0.202121477751522
