route_id,frequency_per_week,suppliers,n_stops,route_km,load_weight_kg,load_cube_m3,pallet_positions_used,weight_utilization,cube_utilization,pallet_position_utilization,route_duration_h,vehicle_id,feasible,annual_trips,tonne_km_per_trip,wtw_gco2e_tkm,annual_co2e_kg
R000,1.0,S047,1,266.681620664042,8262.400698,71.10637200000001,27,0.34426669574999996,0.7900708000000001,0.8181818181818182,5.1987567393462175,V03,True,50.0,2203.4304087183514,115.0,12669.72485013052
R001,1.0,S042,1,226.3746107671971,4769.484936,65.91756600000001,25,0.19872853899999998,0.7324174000000001,0.7575757575757576,4.332568680615705,V03,True,50.0,1079.6902959470099,115.0,6208.219201695306
R002,1.0,S041,1,468.97736789742845,7114.5014,52.499226,20,0.29643755833333335,0.5833247333333333,0.6060606060606061,8.8268612344987,V03,True,50.0,3336.54014047457,115.0,19185.105807728778
R003,1.0,S038|S052,2,448.5362444060924,6956.929120000001,53.292511499999996,20,0.2898720466666667,0.5921390166666666,0.6060606060606061,8.955204443747135,V03,True,50.0,3120.4348600841818,115.0,17942.500445484042
R004,1.0,S051,1,519.9936161146596,4087.869686,30.022584000000002,12,0.17032790358333333,0.3335842666666667,0.36363636363636365,9.737762717236235,V03,True,50.0,2125.6661402286386,115.0,12222.580306314674
R005,1.0,S057|S005,2,520.6147224184389,11042.176254,59.001792,22,0.46009067725,0.6555754666666667,0.6666666666666666,10.115722225789797,V03,True,50.0,5748.719525371686,115.0,33055.13727088719
R006,1.0,S014,1,89.94117633208941,9565.260240000001,76.562589,29,0.3985525100000001,0.8506954333333334,0.8787878787878788,2.0186274484622317,V03,True,50.0,860.310757908164,115.0,4946.786857971943
R007,1.0,S037|S035,2,305.44428277035223,6530.09486,70.626384,26,0.27208728583333336,0.7847376,0.7878787878787878,6.17019908067307,V03,True,50.0,1994.5801409350638,115.0,11468.835810376617
R008,1.0,S028,1,385.82591929521794,7289.799180000001,56.73321000000001,21,0.3037416325,0.6303690000000001,0.6363636363636364,7.448350047791842,V03,True,50.0,2812.5934701010265,115.0,16172.412453080904
R009,2.0,S046,1,202.67489731093983,9420.853018,57.87261600000001,22,0.39253554241666666,0.6430290666666667,0.6666666666666666,4.268331466259512,V03,True,100.0,1909.3704180046072,115.0,21957.759807052986
R010,2.0,S002,1,277.36436180591045,2060.869683,42.759264,16,0.08586957012499999,0.47510293333333337,0.48484848484848486,5.359655063137765,V03,True,100.0,571.6118043904439,115.0,6573.535750490106
R011,2.0,S007,1,263.4561800375918,6935.235044,63.469437750000004,24,0.28896812683333334,0.705215975,0.7272727272727273,5.2401123643198515,V03,True,100.0,1827.13053235508,115.0,21012.00112208342
R012,2.0,S010,1,345.1943620628819,6626.506858,70.51774499999999,26,0.27610445241666665,0.7835304999999999,0.7878787878787878,6.792927795082702,V03,True,100.0,2287.432807552622,115.0,26305.47728685515
R013,2.0,S039,1,519.9911537709079,10320.891834999999,69.133608,26,0.4300371597916666,0.7681511999999999,0.7878787878787878,9.671051280683173,V03,True,100.0,5366.772453226392,115.0,61717.88321210351
R014,2.0,S001,1,188.5025930856125,8455.951055000001,77.490192,29,0.3523312939583334,0.8610021333333333,0.8787878787878788,4.027319874283863,V03,True,100.0,1593.968700872521,115.0,18330.640060033988
R015,2.0,S049,1,85.92838878973583,6635.930347,66.50908650000001,25,0.2764970977916667,0.7389898500000001,0.7575757575757576,1.945667674964894,V03,True,100.0,570.2148028386226,115.0,6557.47023264416
R016,3.0,S018,1,233.02041541461557,10679.040981333334,66.9818235,25,0.4449600408888889,0.7442424833333334,0.7575757575757576,4.636734825720284,V03,True,150.0,2488.434565699997,115.0,42925.49625832496
R017,3.0,S030,1,222.85266881955891,9484.655899333333,79.79171099999999,30,0.39519399580555553,0.8865745666666666,0.9090909090909091,4.668533372476828,V03,True,150.0,2113.680880001607,115.0,36460.99518002772
R018,3.0,S031,1,389.8989597318772,9092.786852000001,58.743815000000005,22,0.3788661188333334,0.6527090555555556,0.6666666666666666,7.672405328458373,V03,True,150.0,3545.268134658491,115.0,61155.87532285898
R019,3.0,S011,1,236.84704346898653,5029.857008000001,62.94959600000001,24,0.20957737533333337,0.6994399555555556,0.7272727272727273,4.5563098812543,V03,True,150.0,1191.3067614165627,115.0,20550.04163443571
R020,3.0,S017,1,241.77168155100384,9614.001282,73.8335575,28,0.40058338675,0.8203728611111111,0.8484848484848485,4.645848755472797,V03,True,150.0,2324.393256382646,115.0,40095.78367260065
R021,3.0,S054,1,127.49242644173025,7268.561952666667,68.580046,26,0.3028567480277778,0.7620005111111111,0.7878787878787878,2.8180441171223682,V03,True,150.0,926.6866000875141,115.0,15985.343851509617
R022,3.0,S036,1,519.9940499659588,5954.660910666667,60.513101999999996,23,0.2481108712777778,0.6723678,0.696969696969697,9.854437272108342,V03,True,150.0,3096.3882431115444,115.0,53412.69719367414
R023,3.0,S044,1,149.70742800542664,12965.656876666668,67.474866,25,0.5402357031944445,0.7497207333333334,0.7575757575757576,3.2219532364623023,V03,True,150.0,1941.05514340664,115.0,33483.20122376454
R024,3.0,S058,1,519.9991546146974,5461.306301333333,60.465104000000004,23,0.22755442922222222,0.671834488888889,0.696969696969697,9.837863417236923,V03,True,150.0,2839.8746597852532,115.0,48987.83788129562
R025,3.0,S048,1,116.1272130036711,7566.439276666668,65.3974135,24,0.3152683031944445,0.7266379277777778,0.7272727272727273,2.494737206127353,V03,True,150.0,878.6695055608133,115.0,15157.048970924028
R026,3.0,S059,1,227.2760726517422,9254.919264666667,73.980241,28,0.38562163602777777,0.8220026777777778,0.8484848484848485,4.348958896698343,V03,True,150.0,2103.4217031823896,115.0,36284.024379896226
R027,5.0,S026,1,238.63069794140065,5066.072408,79.0254351,29,0.21108635033333334,0.8780603899999999,0.8787878787878788,4.9054066292375875,V03,True,250.0,1208.9203945427123,115.0,34756.46134310298
R028,5.0,S034,1,272.66235897167763,4887.1920968,63.5900628,24,0.20363300403333334,0.7065562533333333,0.7272727272727273,5.274164102515351,V03,True,250.0,1332.5533258612277,115.0,38310.9081185103
R029,5.0,S013,1,194.8174694425528,5213.1889,58.44096,22,0.21721620416666668,0.6493439999999999,0.6666666666666666,3.992135808046415,V03,True,250.0,1015.6202692240056,115.0,29199.082740190162
R030,5.0,S045,1,520.007179181211,3727.33028,64.71442680000001,24,0.15530542833333333,0.7190491866666668,0.7272727272727273,9.83800931844626,V03,True,250.0,1938.2385047795135,115.0,55724.35701241101
R031,5.0,S021,1,431.36143592120055,7031.1004596,62.01752520000001,23,0.29296251915,0.6890836133333335,0.696969696969697,8.05960186523395,V03,True,250.0,3032.9455903592693,115.0,87197.18572282899
R032,5.0,S053,1,163.21808233158484,6591.1056896,61.9767336,23,0.27462940373333333,0.6886303733333333,0.696969696969697,3.2009348302712395,V03,True,250.0,1075.7876311013101,115.0,30928.894394162668
R033,5.0,S025,1,119.0548142663706,7236.1968384,74.53359960000002,28,0.3015082016,0.8281511066666668,0.8484848484848485,2.58129965332795,V03,True,250.0,861.5040705906101,115.0,24768.24202948004
R034,5.0,S004,1,120.727304285319,10314.1047664,58.304831099999994,22,0.42975436526666666,0.6478314566666666,0.6666666666666666,2.5783752294300424,V03,True,250.0,1245.1940645638317,115.0,35799.32935621016
R035,5.0,S032,1,432.37956704728776,5621.172812,56.5747056,21,0.23421553383333332,0.62860784,0.6363636363636364,8.128113340253718,V03,True,250.0,2430.480266750545,115.0,69876.30766907817
R036,7.5,S043,1,97.8707923744362,6664.939172799999,55.012391,21,0.27770579886666663,0.6112487888888889,0.6363636363636364,2.0794689522624763,V03,True,375.0,652.3028779693552,115.0,28130.561612428446
R037,7.5,S055,1,198.84619583990036,5133.844675733333,55.0993924,21,0.2139101948222222,0.6122154711111111,0.6363636363636364,3.8987187122406124,V03,True,375.0,1020.8454838025001,115.0,44023.96148898282
R038,7.5,S024,1,273.3463861111026,5209.527457333334,60.332756,23,0.21706364405555556,0.6703639555555556,0.696969696969697,5.303267626262471,V03,True,375.0,1424.005503808628,115.0,61410.237351747084
R039,7.5,S022,1,202.91943721585668,7869.424608,54.7004098,21,0.327892692,0.6077823311111111,0.6363636363636364,4.022777646348909,V03,True,375.0,1596.8592126679735,115.0,68864.55354630636
R040,7.5,S050,1,74.89992256337786,2978.1048306666667,71.8711936,27,0.12408770127777778,0.7985688177777778,0.8181818181818182,1.7118167738795975,V03,True,375.0,223.05982120255484,115.0,9619.454789360178
R041,7.5,S019,1,371.9364725326087,7084.644513866667,61.5403834,23,0.2951935214111111,0.6837820377777778,0.696969696969697,7.112481318774703,V03,True,375.0,2635.0376896350663,115.0,113636.00036551224
R042,7.5,S015,1,520.0064561137679,3176.041098133333,63.7365536,24,0.13233504575555555,0.7081839288888889,0.7272727272727273,9.837996171765475,V03,True,375.0,1651.561875911994,115.0,71223.60589870476
R043,7.5,S008,1,194.5295257795073,1701.3300837333334,54.085839199999995,20,0.07088875348888889,0.6009537688888889,0.6060606060606061,3.953567135384981,V03,True,375.0,330.9589343830548,115.0,14272.604045269236
R044,10.0,S033,1,261.7955064549428,4595.821415,66.07669725,25,0.19149255895833334,0.7341855249999999,0.7575757575757576,5.026584965847445,V03,True,500.0,1203.1653949163972,115.0,69182.01020769285
R045,10.0,S006,1,319.5204832244719,5569.7116909999995,74.24733599999998,28,0.2320713204583333,0.8249703999999998,0.8484848484848485,6.009463331354034,V03,True,500.0,1779.6369709293103,115.0,102329.12582843532
R046,10.0,S020,1,98.111359179251,5846.073543200001,67.66011689999999,25,0.24358639763333337,0.7517790766666665,0.7575757575757576,2.3505095608348663,V03,True,500.0,573.5662211852118,115.0,32980.05771814968
R047,10.0,S000,1,274.72540836260487,8126.683864600001,63.005980949999994,24,0.3386118276916667,0.700066455,0.7272727272727273,5.578340758107967,V03,True,500.0,2232.606543336027,115.0,128374.87624182153
R048,10.0,S040,1,230.16083506973987,7113.3210522,71.83965045000001,27,0.296388377175,0.7982183383333334,0.8181818181818182,4.468075789146785,V03,True,500.0,1637.2079134935127,115.0,94139.45502587697
R049,10.0,S027,1,112.18856269691666,6639.0975748,76.4258298,29,0.27662906561666667,0.8491758866666667,0.8787878787878788,2.6397920490348485,V03,True,500.0,744.8308145213972,115.0,42827.77183498034
R050,12.5,S029,1,520.0006003842688,7699.53996032,71.61456731999999,27,0.3208141650133333,0.7957174146666666,0.8181818181818182,9.804556370623068,V03,True,625.0,4003.765402049069,115.0,287770.63827227685
R051,12.5,S023,1,200.17672192340447,7255.4176203199995,68.43319272000001,26,0.3023090675133333,0.7603688080000001,0.7878787878787878,3.9729100955770513,V03,True,625.0,1452.3657154209654,115.0,104388.78579588188
R052,12.5,S016,1,117.32640964420585,3894.3017769599996,73.19280323999999,27,0.16226257404,0.8132533693333333,0.8181818181818182,2.5832074480764704,V03,True,625.0,456.90444556176766,115.0,32840.00702475205
R053,15.0,S003,1,460.30617723424047,7150.765692399999,78.1911558,29,0.2979485705166666,0.8687906200000001,0.8787878787878788,8.835869889107402,V03,True,750.0,3291.5416201664,115.0,283895.46473935206
R054,15.0,S012,1,115.20720116381615,4765.2124236,72.2757505,27,0.19855051765,0.8030638944444445,0.8181818181818182,2.428009718129991,V03,True,750.0,548.986786274001,115.0,47350.11031613259
R055,20.0,S009,1,519.9961449857104,5559.753823,61.7387004,23,0.23165640929166667,0.68598556,0.696969696969697,9.921142030043221,V03,True,1000.0,2891.050555029566,115.0,332470.8138284001
R056,25.0,S056,1,205.7715412781855,9114.55115472,70.94721702000001,27,0.37977296478,0.7883024113333335,0.8181818181818182,4.257967417179131,V03,True,1250.0,1875.5152391656,115.0,269605.31563005503
