supplier_id,frequency_per_week,annual_transport_proxy_eur,annual_cycle_inventory_proxy_eur,annual_service_risk_proxy_eur,annual_weight_kg,annual_cube_m3,distance_km,minimum_physical_frequency
S000,10.0,186770.0,5689.3466102,1733.9576827904987,4063341.9323000005,31502.990475,137.4,7.778516166666666
S001,2.0,28282.000000000004,480.35721799999993,186.35676616499984,845595.1055000001,7749.0192,94.2,1.913338074074074
S002,2.0,37627.0,1036.0832790000002,868.897113525,206086.9683,4275.9264,138.7,1.0557842962962964
S003,15.0,426315.00000000006,4103.369985733333,707.8313225389998,5363074.2693,58643.36685,230.2,14.479843666666666
S004,5.0,52960.0,10970.663681999999,7255.598026049998,2578526.1916,14576.207774999999,60.4,3.5990636481481477
S005,1.0,27854.000000000004,12436.684105999999,7852.070101470003,543615.0375,2727.9264000000003,224.8,0.6735620740740741
S006,10.0,210290.00000000003,2043.5971292,2038.4881363769998,2784855.8455,37123.66799999999,159.8,9.166337777777775
S007,2.0,36157.0,4105.320857000001,1153.2219498300005,693523.5044,6346.943775000001,131.7,1.5671466111111112
S008,7.5,108498.75000000001,3094.478865866666,945.2226353919989,637998.7814,20282.1897,97.3,5.007948074074074
S009,20.0,631000.0,6008.2259842,2171.154389745002,5559753.823,61738.7004,260.0,15.244123555555555
S010,2.0,44746.0,13639.129988,4575.308150520002,662650.6858,7051.7744999999995,172.6,1.7411788888888888
S011,3.0,50046.0,2355.501016,2057.31600102,754478.5512000001,9442.439400000001,118.4,2.3314665185185186
S012,15.0,154470.0,2091.511202,758.6481541800003,3573909.3177,54206.812875,57.6,13.384398240740742
S013,5.0,72385.0,122.67530000000001,22.332480749999956,1303297.225,14610.24,97.4,3.607466666666667
S014,1.0,8975.0,9049.961338000001,4621.650710564998,478263.01200000005,3828.12945,45.0,0.9452171481481482
S015,7.5,236625.0,1892.6968749333332,1548.5701703999998,1191015.4118,23901.2076,260.0,5.901532740740741
S016,12.5,130168.75,3191.4999336,2132.502228359999,2433938.6106,45745.502024999994,58.7,11.295185685185183
S017,3.0,50833.5,14036.251819333336,11876.583073495,1442100.1923,11075.033625,120.9,2.734576203703704
S018,3.0,49447.5,16327.806799333335,10987.871802915002,1601856.1472,10047.273525,116.5,2.480808277777778
S019,7.5,178350.0,1047.1145930666667,439.7881290879999,2656741.6927,23077.643775,186.0,5.698183648148149
S020,10.0,94055.0,15777.2241572,7626.853586900997,2923036.7716000006,33830.05845,49.1,8.35310085185185
S021,5.0,134492.5,13567.197467999998,2608.60205862,1757775.1149000002,15504.381300000003,215.7,3.8282422962962968
S022,7.5,111806.24999999999,4312.6500472,949.7631581219998,2951034.228,20512.653675,101.5,5.06485275925926
S023,12.5,184506.25000000003,7753.847166560002,629.1189632868012,4534636.0127,42770.74545,100.1,10.56067788888889
S024,7.5,139526.25,4607.252446133333,2688.960064016,1953572.7965,22624.7835,136.7,5.586366296296297
S025,5.0,52487.5,3020.7144000000003,1727.9859419999993,1809049.2096,18633.399900000004,59.5,4.600839481481483
S026,5.0,83882.5,2741.4832235999997,1863.585527679,1266518.102,19756.358775,119.3,4.878113277777778
S027,10.0,101405.0,7724.205084200001,2475.2566292550023,3319548.7874000003,38212.9149,56.1,9.43528762962963
S028,1.0,24504.5,17188.715456,4629.233594399998,364489.95900000003,2836.6605000000004,192.9,0.7004100000000001
S029,12.5,394375.0,1967.0945236799998,171.67370388480046,4812212.4752,44759.104575,260.0,11.05163075925926
S030,3.0,47841.00000000001,34987.81886600001,21016.546650644992,1422698.3849,11968.75665,111.4,2.9552485555555554
S031,3.0,74143.5,4537.1605033333335,2552.1527831250005,1363918.0278,8811.572250000001,194.9,2.175696851851852
S032,5.0,134755.0,3106.4645084,646.0034148149994,1405293.203,14143.6764,216.2,3.492265777777778
S033,10.0,179945.00000000003,4436.1525164,3944.142873671999,2297910.7075,33038.348625,130.9,8.157616944444444
S034,5.0,92807.5,2421.9634692,1283.0901924329999,1221798.0242,15897.5157,136.3,3.9253125185185187
S035,1.0,19580.0,9971.180295999999,3392.4674779800034,290863.6908,3327.4344,146.0,0.8215887407407407
S036,3.0,94650.0,5492.189281333334,1838.6351844100013,893199.1366000001,9076.9653,260.0,2.241226
S037,1.0,11736.5,5730.092368,714.9592522799993,35641.0522,203.88480000000004,71.3,0.5
S038,1.0,17900.0,2033.82531,259.3127270250007,191930.1002,1486.4655749999997,130.0,0.5
S039,2.0,63100.0,5143.1303880000005,4488.550156800001,1032089.1834999999,6913.3607999999995,260.0,1.7070026666666664
S040,10.0,163355.00000000003,6917.3083782,1886.5386486000018,3556660.5261,35919.825225,115.1,8.869092648148149
S041,1.0,28872.500000000004,4590.2134080000005,1004.6307981600007,355725.07,2624.9613,234.5,0.6481385925925925
S042,1.0,16136.000000000002,6098.850582,2158.161444584998,238474.2468,3295.8783000000003,113.2,0.8137971111111112
S043,7.5,70383.75,6539.315986133333,2523.581487375999,2499352.1898,20629.646625,48.9,5.093739907407408
S044,3.0,36343.5,4309.069240666667,1469.0008775000015,1944848.5315,10121.2299,74.9,2.499069111111111
S045,5.0,157750.0,6322.0197304,1068.996063504002,931832.5700000001,16178.606700000004,260.0,3.9947177037037047
S046,2.0,29773.0,6284.2058289999995,1739.5824317549987,942085.3018,5787.261600000001,101.3,1.4289534814814817
S047,1.0,18246.500000000004,2973.856688,450.1337623199999,413120.03489999997,3555.3186000000005,133.3,0.8778564444444446
S048,3.0,31051.5,6912.174646666668,2987.944585900001,1134965.8915000001,9809.612025,58.1,2.422126425925926
