part_id,packaging_id,containers_per_day,loop_days,required_fleet,container_asset_eur
P0000,PK03,41.24657534246575,2.6799999999999997,122,18300.0
P0001,PK06,38.11123287671233,2.52,106,132500.0
P0002,PK06,4.754109589041096,3.14,17,21250.0
P0004,PK03,20.695890410958903,9.14,209,31350.0
P0006,PK03,13.6,5.58,84,12600.0
P0007,PK02,10.865410958904109,5.94,72,13320.0
P0008,PK03,56.587671232876716,8.780000000000001,548,82200.0
P0009,PK02,0.18123702781237028,5.58,2,370.0
P0010,PK03,505.8027397260274,9.14,5093,763950.0
P0011,PK03,1.9353337682104805,8.16,18,2700.0
P0012,PK01,13.795433789954338,8.52,130,15600.0
P0013,PK03,5.282648401826484,3.68,22,3300.0
P0014,PK01,6.809132420091324,9.9,75,9000.0
P0015,PK03,17.589041095890412,5.94,116,17400.0
P0016,PK02,24.017808219178082,8.16,216,39960.0
P0017,PK01,41.35342465753425,9.14,417,50040.0
P0019,PK03,145.54794520547946,4.46,716,107400.0
P0020,PK06,1.0180039138943249,4.359999999999999,5,6250.0
P0021,PK03,14.252054794520548,5.62,89,13350.0
P0022,PK01,6.966210045662101,5.08,39,4680.0
P0023,PK06,7.016438356164383,5.58,44,55000.0
P0024,PK01,13.831050228310502,6.78,104,12480.0
P0025,PK02,10.091598173515981,7.72,86,15910.0
P0026,PK02,17.96541095890411,3.44,69,12765.0
P0027,PK02,3.2136986301369865,7.72,28,5180.0
P0029,PK02,20.085844748858445,4.46,99,18315.0
P0030,PK03,41.35616438356164,7.48,341,51150.0
P0032,PK02,11.718721461187215,5.94,77,14245.0
P0033,PK03,54.49691780821918,4.4,265,39750.0
P0034,PK02,4.462328767123288,5.02,25,4625.0
P0035,PK01,59.06666666666666,8.66,564,67680.0
P0036,PK02,54.33424657534247,5.58,335,61975.0
P0037,PK03,20.70958904109589,4.46,102,15300.0
P0039,PK02,2.586815068493151,5.72,17,3145.0
P0040,PK06,1.2557729941291584,5.04,7,8750.0
P0041,PK02,2.2682648401826486,4.46,12,2220.0
P0042,PK03,27.58538812785388,9.14,278,41700.0
P0043,PK02,8.710730593607305,5.58,54,9990.0
P0044,PK01,31.863013698630137,4.359999999999999,154,18480.0
P0045,PK06,1.4780821917808218,8.16,14,17500.0
P0047,PK03,93.15479452054795,5.62,577,86550.0
P0048,PK03,10.01917808219178,7.98,89,13350.0
P0050,PK01,35.14520547945205,5.94,230,27600.0
P0051,PK03,3.4479452054794524,4.46,17,2550.0
P0052,PK03,15.860273972602739,7.48,131,19650.0
P0054,PK02,27.639383561643836,4.359999999999999,133,24605.0
P0055,PK03,27.646575342465752,9.14,279,41850.0
