scenario,annual_cost_eur,fill_rate,critical_fill_rate,line_stop_probability,mean_line_stop_events,premium_freight_events_mean,p95_shortage_duration_days,policy
nominal,47863623.364612214,0.9987368156331207,0.9998975767756529,0.6666666666666666,1.3333333333333333,403.3,2.0,Nominal joint
demand_plus_20pct,50608934.06401655,0.9925325556765251,0.9988537809849632,1.0,14.266666666666667,4194.166666666667,3.0,Nominal joint
critical_supplier_disruption,47849809.47828487,0.9987830243951443,0.9999324380782794,0.5,1.0,386.3,2.0,Nominal joint
container_shortage,48879712.653587066,0.9957650421439035,0.9993257459547362,1.0,7.033333333333333,1704.0,3.0,Nominal joint
carrier_capacity_shortage,51035870.53101548,0.9862650440752201,0.9941499402342485,1.0,50.2,2912.2,4.0,Nominal joint
combined_shock,65770026.655689426,0.9528354279226062,0.967306222108307,1.0,219.16666666666666,13532.2,4.0,Nominal joint
fuel_plus_50pct,50530712.08585895,0.9987368156331207,0.9998975767756529,0.6666666666666666,1.3333333333333333,403.3,2.0,Nominal joint
nominal,47977994.05340072,0.9993375951726046,0.9999970743183223,0.1,0.1,197.6,2.0,Target+ robust
demand_plus_20pct,49704129.48408279,0.9946459370960057,0.9997328122595502,0.9333333333333333,3.466666666666667,2832.9666666666667,3.0,Target+ robust
critical_supplier_disruption,47985128.75478694,0.9993603947903404,0.9999990429410853,0.03333333333333333,0.03333333333333333,207.26666666666668,2.549999999999997,Target+ robust
container_shortage,48662263.36809434,0.997035309683054,0.9997788536669352,0.8,2.3666666666666667,1177.6333333333334,3.0,Target+ robust
carrier_capacity_shortage,50073189.18988864,0.9888336771176914,0.9972029008119171,1.0,23.833333333333332,2286.3,4.0,Target+ robust
combined_shock,63264050.80111174,0.9574398550181243,0.9734233783680432,1.0,178.06666666666666,12154.033333333333,4.0,Target+ robust
fuel_plus_50pct,50645082.77464745,0.9993375951726046,0.9999970743183223,0.1,0.1,197.6,2.0,Target+ robust
