supplier_id,parts,criticality_exposure,annual_spend_proxy,reliability_otif,lead_time_days,risk_class,disruption_probability_proxy,exposure_eur,risk_eur,tts_days_proxy,ttr_days_proxy,vulnerable_tts_lt_ttr
S000,19,42,25860666.41,0.9553,3.58,B,0.04469999999999996,34435518.956473686,1539267.6973543724,6.7765,8.95,True
S001,3,4,436688.38,0.9431,3.7,C,0.05689999999999995,524026.056,29817.082586399974,6.7155000000000005,7.7700000000000005,True
S002,2,4,941893.89,0.877,1.22,C,0.123,1224462.057,150608.833011,6.385,2.562,False
S003,13,27,27977522.630000003,0.9747,4.32,B,0.02529999999999999,36693596.9878077,928348.0037915343,6.8735,10.8,True
S004,9,16,24933326.549999997,0.903,1.68,A,0.09699999999999998,31582213.629999995,3063474.7221099986,6.515000000000001,5.712,False
S005,4,5,5653038.23,0.9074,2.01,B,0.09260000000000002,6712982.898125,621622.2163663751,6.537,5.0249999999999995,False
S006,5,13,9289077.86,0.8537,3.36,A,0.14629999999999999,12911818.2254,1888999.00637602,6.2685,11.424,True
S007,5,12,3732109.87,0.9588,1.59,B,0.041200000000000014,5075669.4232,209117.58023584008,6.794,3.975,False
S008,5,11,10549359.77,0.9552,1.02,B,0.04479999999999995,14030648.4941,628573.0525356793,6.776,2.55,False
S009,27,52,54620236.22,0.947,1.73,A,0.05300000000000005,70399415.57244444,3731169.0253395587,6.734999999999999,5.882,False
S010,7,10,12399209.08,0.9508,3.45,A,0.04920000000000002,15056182.454285713,740764.1767508574,6.754,11.73,True
S011,8,12,3212046.84,0.8719,1.07,B,0.1281,3934757.379,504042.42024989997,6.3595,2.6750000000000003,False
S012,15,28,14260303.65,0.9468,0.76,B,0.053200000000000025,18253188.672000002,971069.6373504006,6.734,1.9,False
S013,1,1,278807.5,0.9733,4.17,A,0.026699999999999946,320628.625,8560.784287499982,6.8665,14.177999999999999,True
S014,8,19,4113618.79,0.9251,1.04,B,0.07489999999999997,5579095.4839375,417874.25174691854,6.625500000000001,2.6,False
S015,8,18,6452375.71,0.88,2.31,B,0.12,8630052.512124998,1035606.3014549998,6.4,5.775,False
S016,14,34,18133522.349999998,0.902,3.89,A,0.09799999999999998,24739305.491785713,2424451.938194999,6.51,13.226,True
S017,10,21,19140343.39,0.8759,2.29,C,0.12409999999999999,25169551.55785,3123541.3483291846,6.3795,4.809,False
S018,14,23,22265191.09,0.9013,1.7,B,0.09870000000000001,27751970.322892856,2739119.4708695253,6.5065,4.25,False
S019,8,17,3569708.84,0.9384,4.16,C,0.06159999999999999,4707553.53275,289985.29761739995,6.692,8.736,True
S020,12,20,71714655.26,0.9291,3.83,A,0.07089999999999996,89643319.075,6355711.322417497,6.6455,13.022,True
S021,17,35,30834539.7,0.9718,1.52,B,0.028200000000000003,40356971.07794118,1138066.5843979414,6.859,3.8,False
S022,11,20,14702216.07,0.9677,2.02,B,0.032299999999999995,18711911.361818183,604394.7369867272,6.8385,5.05,False
S023,33,70,44055949.81,0.9881,4.07,B,0.011900000000000022,58073752.02227273,691077.6490650467,6.9405,10.175,True
S024,15,22,15706542.43,0.9144,2.87,C,0.08560000000000001,19161981.764599998,1640265.63904976,6.572,6.027,False
S025,12,21,6865260.0,0.9161,2.66,B,0.08389999999999997,8667390.75,727194.0839249998,6.5805,6.65,True
S026,10,16,6230643.6899999995,0.9003,3.49,C,0.09970000000000001,7725998.1756,770282.0181073201,6.5015,7.329000000000001,True
S027,18,40,35110023.11,0.953,3.24,C,0.04700000000000004,46813364.14666666,2200228.114893335,6.765,6.804000000000001,True
S028,6,11,7813052.4799999995,0.9605,2.97,B,0.03949999999999998,9961641.911999999,393484.8555239997,6.8025,7.425000000000001,True
S029,3,6,11176673.43,0.9872,2.27,B,0.012800000000000034,14529675.459,185979.8458752005,6.936,5.675,False
S030,17,37,47710662.09,0.9119,1.68,A,0.08809999999999996,63286790.00761765,5575566.199671112,6.5595,5.712,False
S031,7,14,6187037.05,0.9175,4.31,B,0.08250000000000002,8043148.165,663559.7236125001,6.5875,10.774999999999999,True
S032,14,29,7060146.609999999,0.9695,2.47,B,0.03049999999999997,9253835.020964285,282241.9681394104,6.8475,6.175000000000001,False
S033,13,26,20164329.62,0.8696,0.85,B,0.13039999999999996,26213628.506,3418257.157182399,6.348,2.125,False
S034,9,15,5504462.43,0.9223,3.76,B,0.07769999999999999,6880578.0375,534620.91351375,6.6115,9.399999999999999,True
S035,6,10,4532354.68,0.9501,1.4,A,0.049900000000000055,5665443.35,282705.6231650003,6.7505,4.76,False
S036,9,21,7489349.0200000005,0.9509,1.94,B,0.04910000000000003,10110621.177000001,496431.4997907004,6.7545,4.85,False
S037,1,2,2604587.44,0.9817,3.06,B,0.018299999999999983,3385963.6720000003,61963.13519759995,6.9085,7.65,True
S038,2,4,924466.05,0.9813,2.94,A,0.01870000000000005,1201805.865,22473.76967550006,6.906499999999999,9.996,True
S039,4,9,4675573.08,0.872,3.86,B,0.128,6253578.9945,800458.1112960001,6.36,9.65,True
S040,13,23,31442310.810000002,0.96,4.07,C,0.040000000000000036,39786616.37111539,1591464.6548446168,6.8,8.547,True
S041,4,10,2086460.6400000001,0.9679,3.5,A,0.03210000000000002,2868883.3800000004,92091.15649800005,6.8395,11.9,True
S042,9,17,2772204.81,0.9481,3.36,C,0.051899999999999946,3557662.8395,184642.7013700498,6.7405,7.056,True
S043,15,34,22293122.68,0.9434,4.46,C,0.056599999999999984,29872784.391199995,1690799.5965419193,6.7170000000000005,9.366,True
S044,12,25,5876003.51,0.95,1.31,B,0.050000000000000044,7712254.606875,385612.7303437503,6.75,3.2750000000000004,False
S045,11,18,14368226.66,0.9752,2.36,C,0.024800000000000044,17894973.20381818,443795.33545469167,6.8759999999999994,4.9559999999999995,False
S046,11,22,5712914.39,0.9594,4.45,C,0.04059999999999997,7426788.7069999995,301527.62150419975,6.797000000000001,9.345,True
S047,5,10,1351753.04,0.9778,2.35,C,0.022199999999999998,1757278.952,39011.592734399994,6.889,4.9350000000000005,False
S048,16,29,9425692.700000001,0.9366,2.04,B,0.06340000000000001,11988302.902812501,760058.4040383127,6.683,5.1,False
S049,6,12,13126230.61,0.8922,1.03,B,0.1078,17064099.793,1839509.9576854003,6.461,2.575,False
S050,6,10,5967232.56,0.903,2.89,B,0.09699999999999998,7459040.699999999,723526.9478999998,6.515000000000001,7.2250000000000005,True
S051,5,10,3118065.23,0.9674,1.34,B,0.03259999999999996,4053484.799,132143.60444739985,6.837,3.35,False
S052,2,7,1631724.1,0.9,2.17,C,0.09999999999999998,2488379.2525,248837.92524999994,6.5,4.557,False
S053,18,32,9195661.84,0.9182,2.29,C,0.08179999999999998,11647838.330666667,952793.1754485331,6.591,4.809,False
S054,10,22,18557109.27,0.9314,1.64,B,0.0686,24680955.3291,1693113.53557626,6.657,4.1,False
S055,15,32,30265523.35,0.9115,0.84,A,0.08850000000000002,39950490.822000004,3535618.437747001,6.5575,2.856,False
S056,18,34,37690844.019999996,0.9034,3.66,C,0.09660000000000002,48369916.49233332,4672533.9331594,6.5169999999999995,7.686000000000001,True
S057,1,3,12199.14,0.9203,2.63,B,0.0797,17688.752999999997,1409.7936140999996,6.6015,6.574999999999999,False
S058,7,12,32962398.05,0.9529,1.19,B,0.04710000000000003,41438443.26285715,1951750.677680573,6.7645,2.9749999999999996,False
S059,12,22,44066736.15,0.9621,1.92,A,0.037900000000000045,56185088.591249995,2129414.8576083775,6.810499999999999,6.528,False
