supplier_id,tts_days,critical_parts,lead_time_days,risk_class,reliability_otif,ttr_days,resilience_gap_days,vulnerable_tts_lt_ttr
S000,8.04884544183072,2,3.58,B,0.9553,8.95,0.9011545581692797,True
S001,8.493680697325226,0,3.7,C,0.9431,7.7700000000000005,-0.7236806973252259,False
S002,4.49067629860313,0,1.22,C,0.877,2.562,-1.9286762986031305,False
S003,9.422163784074876,0,4.32,B,0.9747,10.8,1.3778362159251252,True
S004,4.3893281782111515,0,1.68,A,0.903,5.712,1.3226718217888482,True
S005,6.700039514189291,0,2.01,B,0.9074,5.0249999999999995,-1.675039514189291,False
S006,7.600572317472617,1,3.36,A,0.8537,11.424,3.8234276825273827,True
S007,5.060153670642161,0,1.59,B,0.9588,3.975,-1.085153670642161,False
S008,2.9630663241659008,1,1.02,B,0.9552,2.55,-0.41306632416590094,False
S009,3.94091494887265,0,1.73,A,0.947,5.882,1.9410850511273496,True
S010,8.743419265027722,0,3.45,A,0.9508,11.73,2.9865807349722786,True
S011,3.6339405732997574,1,1.07,B,0.8719,2.6750000000000003,-0.9589405732997571,False
S012,2.2446774058236993,1,0.76,B,0.9468,1.9,-0.34467740582369943,False
S013,8.446554614129582,0,4.17,A,0.9733,14.177999999999999,5.731445385870417,True
S014,5.099279065897038,0,1.04,B,0.9251,2.6,-2.499279065897038,False
S015,5.006214939465349,0,2.31,B,0.88,5.775,0.7687850605346513,True
S016,8.1785438441176,3,3.89,A,0.902,13.226,5.047456155882401,True
S017,5.435033602060803,0,2.29,C,0.8759,4.809,-0.6260336020608026,False
S018,4.921863732381713,0,1.7,B,0.9013,4.25,-0.6718637323817127,False
S019,8.459477506839136,0,4.16,C,0.9384,8.736,0.27652249316086497,True
S020,7.935954478269659,0,3.83,A,0.9291,13.022,5.086045521730341,True
S021,3.9415517591748364,1,1.52,B,0.9718,3.8,-0.14155175917483653,False
S022,4.512103928675477,0,2.02,B,0.9677,5.05,0.5378960713245231,True
S023,8.36888088086594,3,4.07,B,0.9881,10.175,1.8061191191340615,True
S024,6.711921304797251,0,2.87,C,0.9144,6.027,-0.6849213047972507,False
S025,5.986882640224433,0,2.66,B,0.9161,6.65,0.6631173597755673,True
S026,7.966032317398551,0,3.49,C,0.9003,7.329000000000001,-0.6370323173985506,False
S027,6.99461815393778,2,3.24,C,0.953,6.804000000000001,-0.1906181539377787,False
S028,8.591194594967387,0,2.97,B,0.9605,7.425000000000001,-1.1661945949673864,False
S029,5.686451141956666,0,2.27,B,0.9872,5.675,-0.011451141956666078,False
S030,4.4098330556227525,2,1.68,A,0.9119,5.712,1.3021669443772472,True
S031,8.850543780855382,0,4.31,B,0.9175,10.774999999999999,1.9244562191446164,True
S032,5.363203530795449,0,2.47,B,0.9695,6.175000000000001,0.8117964692045518,True
S033,2.532864872176533,2,0.85,B,0.8696,2.125,-0.4078648721765332,False
S034,7.480778464352212,1,3.76,B,0.9223,9.399999999999999,1.9192215356477869,True
S035,4.385409735114836,0,1.4,A,0.9501,4.76,0.374590264885164,True
S036,5.025655153840512,1,1.94,B,0.9509,4.85,-0.17565515384051267,False
S037,8.920935234410877,0,3.06,B,0.9817,7.65,-1.2709352344108762,False
S038,9.134978452433844,0,2.94,A,0.9813,9.996,0.8610215475661569,True
S039,9.212069668472457,0,3.86,B,0.872,9.65,0.4379303315275429,True
S040,8.710168858537203,0,4.07,C,0.96,8.547,-0.16316885853720287,False
S041,9.075659170914097,1,3.5,A,0.9679,11.9,2.8243408290859033,True
S042,9.533638490054646,0,3.36,C,0.9481,7.056,-2.4776384900546455,False
S043,8.313094903640565,1,4.46,C,0.9434,9.366,1.052905096359435,True
S044,4.030505480100179,0,1.31,B,0.95,3.2750000000000004,-0.7555054801001786,False
S045,5.24814377855137,0,2.36,C,0.9752,4.9559999999999995,-0.2921437785513703,False
S046,8.981049402736005,0,4.45,C,0.9594,9.345,0.3639505972639956,True
S047,7.0893890180639625,0,2.35,C,0.9778,4.9350000000000005,-2.154389018063962,False
S048,5.258512608649252,0,2.04,B,0.9366,5.1,-0.15851260864925276,False
S049,3.8942466670342903,1,1.03,B,0.8922,2.575,-1.3192466670342902,False
S050,6.805307955008807,0,2.89,B,0.903,7.2250000000000005,0.4196920449911934,True
S051,5.599380672412403,0,1.34,B,0.9674,3.35,-2.249380672412403,False
S052,8.318380664378376,1,2.17,C,0.9,4.557,-3.7613806643783754,False
S053,5.627731803811947,1,2.29,C,0.9182,4.809,-0.8187318038119464,False
S054,4.791991116742346,1,1.64,B,0.9314,4.1,-0.6919911167423463,False
S055,2.546798794739724,1,0.84,A,0.9115,2.856,0.3092012052602757,True
S056,7.556648335060123,1,3.66,C,0.9034,7.686000000000001,0.12935166493987804,True
S057,9.032990872918761,0,2.63,B,0.9203,6.574999999999999,-2.457990872918762,False
S058,3.654015859930822,0,1.19,B,0.9529,2.9749999999999996,-0.6790158599308223,False
S059,5.065675880706945,0,1.92,A,0.9621,6.528,1.4623241192930543,True
