part_id,packaging_id,compatible
P0000,PK01,True
P0000,PK02,True
P0000,PK03,True
P0000,PK04,True
P0001,PK05,True
P0001,PK06,True
P0002,PK05,True
P0002,PK06,True
P0003,PK05,True
P0003,PK06,True
P0004,PK01,True
P0004,PK02,True
P0004,PK03,True
P0004,PK04,True
P0005,PK01,True
P0005,PK02,True
P0005,PK03,True
P0005,PK04,True
P0005,PK05,True
P0006,PK01,True
P0006,PK02,True
P0006,PK03,True
P0006,PK04,True
P0007,PK01,True
P0007,PK02,True
P0007,PK03,True
P0007,PK04,True
P0008,PK01,True
P0008,PK02,True
P0008,PK03,True
P0008,PK04,True
P0009,PK01,True
P0009,PK02,True
P0009,PK03,True
P0009,PK04,True
P0010,PK02,True
P0010,PK03,True
P0010,PK04,True
P0011,PK01,True
P0011,PK02,True
P0011,PK03,True
P0011,PK04,True
P0012,PK01,True
P0012,PK02,True
P0012,PK03,True
P0012,PK04,True
P0013,PK01,True
P0013,PK02,True
P0013,PK03,True
P0013,PK04,True
P0014,PK01,True
P0014,PK02,True
P0014,PK03,True
P0014,PK04,True
P0015,PK01,True
P0015,PK02,True
P0015,PK03,True
P0015,PK04,True
P0016,PK01,True
P0016,PK02,True
P0016,PK03,True
P0016,PK04,True
P0017,PK01,True
P0017,PK02,True
P0017,PK03,True
P0017,PK04,True
P0018,PK01,True
P0018,PK02,True
P0018,PK03,True
P0018,PK04,True
P0019,PK01,True
P0019,PK02,True
P0019,PK03,True
P0019,PK04,True
P0020,PK02,True
P0020,PK05,True
P0020,PK06,True
P0021,PK01,True
P0021,PK02,True
P0021,PK03,True
P0021,PK04,True
P0022,PK01,True
P0022,PK02,True
P0022,PK03,True
P0022,PK04,True
P0023,PK02,True
P0023,PK03,True
P0023,PK04,True
P0023,PK05,True
P0023,PK06,True
P0024,PK01,True
P0024,PK02,True
P0024,PK03,True
P0024,PK04,True
P0025,PK01,True
P0025,PK02,True
P0025,PK03,True
P0025,PK04,True
P0026,PK01,True
P0026,PK02,True
P0026,PK03,True
P0026,PK04,True
P0027,PK01,True
P0027,PK02,True
P0027,PK03,True
P0027,PK04,True
P0028,PK05,True
P0028,PK06,True
P0029,PK01,True
P0029,PK02,True
P0029,PK03,True
P0029,PK04,True
P0030,PK02,True
P0030,PK03,True
P0030,PK04,True
P0031,PK01,True
P0031,PK02,True
P0031,PK03,True
P0031,PK04,True
P0032,PK01,True
P0032,PK02,True
P0032,PK03,True
P0032,PK04,True
P0033,PK01,True
P0033,PK02,True
P0033,PK03,True
P0033,PK04,True
P0034,PK01,True
P0034,PK02,True
P0034,PK03,True
P0034,PK04,True
P0035,PK01,True
P0035,PK02,True
P0035,PK03,True
P0035,PK04,True
P0036,PK02,True
P0036,PK03,True
P0036,PK04,True
P0037,PK01,True
P0037,PK02,True
P0037,PK03,True
P0037,PK04,True
P0038,PK05,True
P0038,PK06,True
P0039,PK01,True
P0039,PK02,True
P0039,PK03,True
P0039,PK04,True
P0040,PK02,True
P0040,PK03,True
P0040,PK05,True
P0040,PK06,True
P0041,PK01,True
P0041,PK02,True
P0041,PK03,True
P0041,PK04,True
P0042,PK01,True
P0042,PK02,True
P0042,PK03,True
P0042,PK04,True
P0043,PK01,True
P0043,PK02,True
P0043,PK03,True
P0043,PK04,True
P0044,PK01,True
P0044,PK02,True
P0044,PK03,True
P0044,PK04,True
P0045,PK02,True
P0045,PK03,True
P0045,PK04,True
P0045,PK05,True
P0045,PK06,True
P0046,PK01,True
P0046,PK02,True
P0046,PK03,True
P0046,PK04,True
P0047,PK01,True
P0047,PK02,True
P0047,PK03,True
P0047,PK04,True
P0048,PK01,True
P0048,PK02,True
P0048,PK03,True
P0048,PK04,True
P0049,PK04,True
P0050,PK01,True
P0050,PK02,True
P0050,PK03,True
P0050,PK04,True
P0051,PK01,True
P0051,PK02,True
P0051,PK03,True
P0051,PK04,True
P0052,PK02,True
P0052,PK03,True
P0052,PK04,True
P0053,PK01,True
P0053,PK02,True
P0053,PK03,True
P0053,PK04,True
P0054,PK01,True
P0054,PK02,True
P0054,PK03,True
P0054,PK04,True
P0055,PK01,True
P0055,PK02,True
P0055,PK03,True
P0055,PK04,True
P0056,PK01,True
P0056,PK02,True
P0056,PK03,True
P0056,PK04,True
P0057,PK01,True
P0057,PK02,True
P0057,PK03,True
P0057,PK04,True
P0058,PK04,True
P0058,PK05,True
P0059,PK02,True
P0059,PK03,True
P0059,PK04,True
P0059,PK05,True
P0059,PK06,True
P0060,PK01,True
P0060,PK02,True
P0060,PK03,True
P0060,PK04,True
P0061,PK01,True
P0061,PK02,True
P0061,PK03,True
