part_id,supplier_id,description,unit_weight_kg,unit_volume_m3,part_length_m,part_width_m,part_height_m,unit_value_eur,criticality,damage_sensitivity,handling_class,stackable,returnable_eligible,line_family,bom_A,bom_B,bom_C,bom_D
P0000,S055,Synthetic automotive component 0000,3.4112,0.019811,0.4421,0.3783,0.1184,66.3,medium,0.4533,manual,True,True,electronics,2,2,2,2
P0001,S012,Synthetic automotive component 0001,14.8465,0.155956,1.3137,0.5437,0.2183,37.29,low,0.177,assisted,False,True,body,6,0,7,6
P0002,S011,Synthetic automotive component 0002,11.7491,0.083292,0.6448,0.6332,0.204,1.76,low,0.5108,assisted,False,True,thermal,4,0,0,0
P0003,S013,Synthetic automotive component 0003,21.4094,0.129182,0.9041,0.6207,0.2302,4.58,low,0.3001,assisted,True,True,powertrain,7,0,7,0
P0004,S023,Synthetic automotive component 0004,2.127,0.012145,0.3369,0.2652,0.1359,71.84,medium,0.3939,manual,True,True,interior,1,1,1,1
P0005,S055,Synthetic automotive component 0005,8.744,0.024138,0.4278,0.4841,0.1166,10.41,medium,0.2744,assisted,True,True,interior,2,2,2,2
P0006,S053,Synthetic automotive component 0006,1.7561,0.014958,0.421,0.3246,0.1094,2.73,medium,0.5866,manual,True,True,thermal,0,1,1,1
P0007,S032,Synthetic automotive component 0007,0.7944,0.002314,0.2231,0.1358,0.0764,11.0,medium,0.8683,manual,True,True,electronics,5,4,4,3
P0008,S016,Synthetic automotive component 0008,3.6168,0.025754,0.4767,0.3971,0.136,32.57,critical,0.397,manual,False,True,body,3,4,0,4
P0009,S053,Synthetic automotive component 0009,0.1245,0.000396,0.1558,0.0876,0.029,7.44,medium,0.4581,manual,True,True,thermal,1,0,1,0
P0010,S023,Synthetic automotive component 0010,4.8461,0.049623,0.6052,0.4971,0.1649,7.33,medium,0.4994,manual,True,True,electronics,13,11,12,13
P0011,S000,Synthetic automotive component 0011,0.2508,0.000776,0.1948,0.1095,0.0364,36.06,low,0.1822,manual,True,True,thermal,4,3,0,5
P0012,S034,Synthetic automotive component 0012,1.2134,0.004623,0.3093,0.2249,0.0665,4.09,medium,0.2417,manual,True,True,chassis,1,1,1,1
P0013,S051,Synthetic automotive component 0013,2.6267,0.006718,0.4018,0.1952,0.0857,6.6,medium,0.0943,manual,True,True,chassis,1,1,0,1
P0014,S046,Synthetic automotive component 0014,1.1343,0.005755,0.3783,0.2177,0.0699,163.39,high,0.2719,manual,True,True,body,1,0,0,1
P0015,S032,Synthetic automotive component 0015,2.8568,0.012505,0.4198,0.2518,0.1183,2.84,low,0.3874,manual,True,True,thermal,1,1,1,0
P0016,S000,Synthetic automotive component 0016,2.4242,0.008376,0.4589,0.2395,0.0762,48.42,low,0.2168,manual,True,True,body,0,0,10,0
P0017,S023,Synthetic automotive component 0017,4.2919,0.023759,0.4924,0.3011,0.1603,5.64,critical,0.4263,manual,False,True,body,1,1,1,1
P0018,S059,Synthetic automotive component 0018,3.7228,0.012009,0.3502,0.244,0.1405,7.5,medium,0.4546,manual,True,True,thermal,4,4,3,5
P0019,S009,Synthetic automotive component 0019,1.9754,0.015764,0.3826,0.3695,0.1115,15.56,high,0.429,manual,True,True,body,9,10,0,8
P0020,S030,Synthetic automotive component 0020,2.7811,0.070014,0.8216,0.518,0.1645,50.02,high,0.2536,assisted,True,True,electronics,1,0,0,0
P0021,S015,Synthetic automotive component 0021,3.8821,0.019935,0.4939,0.3546,0.1138,9.96,high,0.3339,manual,True,True,electronics,2,0,0,0
P0022,S048,Synthetic automotive component 0022,2.5504,0.006509,0.3281,0.2722,0.0729,21.94,medium,0.403,manual,True,True,electronics,0,1,1,0
P0023,S017,Synthetic automotive component 0023,9.1338,0.038131,0.5898,0.4655,0.1389,91.61,low,0.1622,assisted,False,True,interior,7,6,0,9
P0024,S050,Synthetic automotive component 0024,1.2522,0.007644,0.3899,0.2692,0.0728,4.71,medium,0.2941,manual,True,True,body,1,1,1,1
P0025,S006,Synthetic automotive component 0025,0.4741,0.001637,0.2295,0.1272,0.0561,1.93,medium,0.3599,manual,True,True,interior,11,13,0,0
