supplier_id,x_km,y_km,distance_km,lead_time_days,lead_time_cv,reliability_otif,moq_units,dock_open_h,dock_close_h,risk_class,service_min,calendar_days_per_week
S000,25.1,135.05,137.4,3.58,0.42,0.9553,200,7,17,B,35,5
S001,83.55,-43.62,94.2,3.7,0.349,0.9431,100,6,18,C,36,5
S002,-111.08,-83.03,138.7,1.22,0.288,0.877,40,7,17,C,19,5
S003,228.69,-25.91,230.2,4.32,0.424,0.9747,200,7,15,B,28,5
S004,58.27,15.76,60.4,1.68,0.337,0.903,40,8,18,A,23,5
S005,221.57,37.73,224.8,2.01,0.191,0.9074,200,8,16,B,22,5
S006,156.62,31.52,159.8,3.36,0.429,0.8537,200,7,15,A,12,6
S007,-105.29,-79.16,131.7,1.59,0.208,0.9588,20,8,15,B,27,5
S008,-95.46,18.65,97.3,1.02,0.4,0.9552,60,8,15,B,25,6
S009,218.76,-140.51,260.0,1.73,0.265,0.947,40,7,18,A,28,5
S010,26.05,-170.62,172.6,3.45,0.411,0.9508,100,8,15,A,31,5
S011,25.84,-115.57,118.4,1.07,0.388,0.8719,20,6,18,B,15,5
S012,-48.28,31.42,57.6,0.76,0.281,0.9468,40,7,18,B,20,5
S013,-65.1,-72.46,97.4,4.17,0.287,0.9733,40,7,15,A,27,5
S014,-0.23,44.97,45.0,1.04,0.24,0.9251,60,8,15,B,23,5
S015,-135.85,221.69,260.0,2.31,0.159,0.88,60,8,15,B,23,5
S016,58.54,-3.8,58.7,3.89,0.338,0.902,40,8,18,A,27,5
S017,42.92,-113.01,120.9,2.29,0.313,0.8759,40,6,18,C,15,5
S018,-113.62,-25.79,116.5,1.7,0.411,0.9013,200,7,17,B,24,5
S019,-89.4,163.07,186.0,4.16,0.221,0.9384,100,8,16,C,21,5
S020,47.91,10.54,49.1,3.83,0.332,0.9291,60,8,15,A,34,5
S021,-3.64,-215.65,215.7,1.52,0.243,0.9718,100,7,17,B,13,5
S022,97.31,28.72,101.5,2.02,0.167,0.9677,100,8,18,B,20,5
S023,-18.52,-98.36,100.1,4.07,0.334,0.9881,60,6,18,B,20,5
S024,22.31,-134.84,136.7,2.87,0.412,0.9144,40,8,16,C,20,5
S025,59.49,-2.11,59.5,2.66,0.282,0.9161,100,7,17,B,25,6
S026,-111.91,-41.38,119.3,3.49,0.422,0.9003,60,6,18,C,34,5
S027,-45.72,32.5,56.1,3.24,0.353,0.953,200,6,17,C,36,5
S028,-121.48,149.86,192.9,2.97,0.29,0.9605,40,8,15,B,26,5
S029,-234.85,-111.56,260.0,2.27,0.365,0.9872,60,6,15,B,21,5
S030,-72.54,-84.58,111.4,1.68,0.127,0.9119,40,6,18,A,37,5
S031,-125.94,-148.81,194.9,4.31,0.242,0.9175,100,7,18,B,35,5
S032,158.41,147.12,216.2,2.47,0.23,0.9695,100,7,17,B,16,5
S033,35.93,-125.87,130.9,0.85,0.381,0.8696,60,7,16,B,16,5
S034,-105.12,-86.81,136.3,3.76,0.206,0.9223,100,6,15,B,19,5
S035,-8.49,145.75,146.0,1.4,0.123,0.9501,40,6,17,A,13,5
S036,215.99,-144.73,260.0,1.94,0.258,0.9509,40,8,16,B,24,5
S037,-35.49,61.84,71.3,3.06,0.226,0.9817,20,8,15,B,24,5
S038,-14.34,-129.2,130.0,2.94,0.298,0.9813,40,8,16,A,35,6
S039,136.34,-221.38,260.0,3.86,0.358,0.872,60,6,17,B,13,5
S040,-13.8,114.25,115.1,4.07,0.386,0.96,100,7,16,C,17,5
S041,-226.95,-58.98,234.5,3.5,0.201,0.9679,60,7,16,A,18,5
S042,-112.75,-9.94,113.2,3.36,0.357,0.9481,200,8,16,C,13,5
S043,-48.83,-3.21,48.9,4.46,0.192,0.9434,60,8,15,C,18,6
S044,69.69,27.32,74.9,1.31,0.327,0.95,200,8,15,B,30,5
S045,-19.25,-259.29,260.0,2.36,0.192,0.9752,200,6,16,C,23,5
S046,-98.73,-22.84,101.3,4.45,0.131,0.9594,60,6,18,C,35,5
S047,-133.19,-6.34,133.3,2.35,0.103,0.9778,100,6,16,C,21,5
S048,-12.6,56.68,58.1,2.04,0.286,0.9366,60,7,15,B,23,5
S049,-29.58,31.16,43.0,1.03,0.33,0.8922,100,6,15,B,23,5
S050,33.86,16.0,37.4,2.89,0.424,0.903,200,7,17,B,21,5
S051,245.81,-84.71,260.0,1.34,0.147,0.9674,200,8,17,B,17,5
S052,-51.63,-217.05,223.1,2.17,0.331,0.9,60,7,17,C,13,5
S053,22.66,-78.4,81.6,2.29,0.375,0.9182,100,8,15,C,14,5
S054,33.86,-54.01,63.7,1.64,0.361,0.9314,100,6,16,B,30,5
S055,-90.2,-41.82,99.4,0.84,0.247,0.9115,100,7,16,A,17,5
S056,101.67,-15.77,102.9,3.66,0.336,0.9034,100,7,15,C,31,5
S057,4.09,75.08,75.2,2.63,0.288,0.9203,100,8,18,B,17,5
S058,160.19,204.79,260.0,1.19,0.174,0.9529,60,7,15,B,23,5
S059,-111.77,20.52,113.6,1.92,0.425,0.9621,40,8,18,A,13,5
